time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
120,2.5,0,0,0,0,0,0,1,0,0,0,0,A431,168516.4802,5302.505565,1939.61771,460.4465811,14846.62719,352.4588964,147.2018977,220.8508318,0.338303787,7.819315607,16.53977039,7.361462192,NaN,NaN,,,,,
240,2.5,0,0,0,0,0,0,1,0,0,0,0,A431,183255.2915,5966.835949,2306.565594,812.764919,17464.20345,393.2588088,198.1942178,244.334779,0.485394291,10.33366924,34.91402769,7.768607162,NaN,NaN,,,,,
0,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,4454.38823,2079.396385,558.9061184,296.3013877,19588.98241,964.8135399,160.9488802,320.7449675,0.127688367,4.576569221,7.852500826,5.758981919,NaN,NaN,,,,,
5,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,2077.861892,923.6409048,697.2948377,203.4799627,23637.73123,869.2619794,147.4912494,286.6860016,0.366388326,6.550178274,8.418157757,7.555319979,NaN,NaN,,,,,
10,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,3287.792714,653.083113,638.6834428,286.3654201,22401.81334,869.6845769,136.4703715,324.4197459,0.514490536,7.522838383,11.63127416,6.633388558,NaN,NaN,,,,,
15,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,1826.436661,471.3493897,627.5161314,139.2392112,24599.24171,774.4082508,135.1893474,296.2380058,0.213139735,7.264146091,11.77097902,7.060424374,NaN,NaN,,,,,
30,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,1876.994416,945.1707356,821.7909491,37.1260415,27353.59948,1179.450806,174.3070225,354.9338541,0.214693064,7.900521698,16.61772012,7.262669737,NaN,NaN,,,,,
60,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,3128.041992,773.9516071,855.5938068,239.8549482,29738.3164,940.5006442,175.356779,424.7030112,0.319494095,8.775484635,28.27483178,5.526340478,NaN,NaN,,,,,
120,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,3914.005787,1465.069994,827.7926461,324.8569501,12280.16434,430.8803017,87.05803824,243.1505565,0.169624717,9.579819208,16.65586795,7.645596083,NaN,NaN,,,,,
240,0,0.15625,0,0,0,0,0,1,0,0,0,0,A431,2227.194115,720.1461791,697.2823865,87.4257705,29110.83574,487.5108269,161.68694,286.4175742,0.197683878,8.494591157,16.06525337,7.208062105,NaN,NaN,,,,,
0,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,4898.588355,1021.039061,356.7484727,171.9999419,31085.68874,973.5978347,200.9635325,315.5113741,0.092952921,5.310591233,8.074861154,6.516144409,NaN,NaN,,,,,
5,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,2398.893659,1142.089738,1493.103368,111.6635527,22865.21209,937.9396385,163.2900759,263.8631938,0.906984047,12.63868276,7.743115432,6.767484412,NaN,NaN,,,,,
10,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,3223.111279,877.0962349,1275.96697,103.948101,19616.47695,1001.171219,138.4250367,311.542192,0.438003993,9.616615356,15.8729493,6.788536788,NaN,NaN,,,,,
15,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,1977.692174,702.8553538,1254.207709,36.26531016,19890.14233,816.8669254,133.2695005,292.3270051,0.159391539,9.698504944,18.13274246,7.078971453,NaN,NaN,,,,,
30,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,1698.756267,1309.205434,1725.380371,0,25536.97353,1202.43255,187.8556738,370.2632512,0.257455668,14.80257957,32.00435202,6.410651293,NaN,NaN,,,,,
60,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,2468.699554,1214.665291,1746.610137,218.3019279,26640.43274,1012.658777,173.5094294,307.8696037,0.225180025,10.89941045,27.87988462,5.701381013,NaN,NaN,,,,,
