time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2125.500219,148.801837,8.617733874,113.8094106,0.310410644,5.19862391,3.503090303,6.989543432,NaN,,,,,
5,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,85.36838984,0,0,1751.063051,133.857759,6.154439917,92.11118392,0.511301678,5.615994022,3.514524577,9.130203357,NaN,,,,,
10,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,104.60411,135.4999381,1791.90651,144.6653354,6.57924269,102.2973923,0.782851614,4.953909839,2.97801876,7.117672272,NaN,,,,,
15,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1795.388271,145.5249282,5.73173985,108.7752687,0.22684401,4.570720489,4.136495666,7.48913289,NaN,,,,,
30,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,642.3146134,0,0,267.5619238,2080.903941,165.4087493,9.125648887,120.8813496,0.323849037,5.746081009,3.968306914,8.088871897,NaN,,,,,
60,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,713.9554405,62.57734825,115.2410932,72.22894926,2257.811545,169.84622,9.953635149,115.1506262,0.5172468,5.465273757,3.632638219,6.856561142,NaN,,,,,
120,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,544.6977276,33.43842631,0,2138.418381,111.7367141,8.524274464,116.7156938,0.25970501,5.240855967,3.56203734,7.32613237,NaN,,,,,
240,0,0.15625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2140.776262,123.6108731,10.02567301,125.89398,0.162262225,5.20093558,4.332919328,5.036475909,NaN,,,,,
0,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,129.0002548,0,2124.109231,150.8426586,10.52961428,98.66621994,0.299367994,5.186170409,3.866501604,6.769020363,NaN,,,,,
5,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,47.89814879,1635.239323,122.1760183,3.588092492,85.55099684,0.565500301,7.26109363,3.605309147,7.865543597,NaN,,,,,
10,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1640.963776,133.7642169,4.643091173,88.79019965,0.542645362,5.366950194,3.204764424,7.694465666,NaN,,,,,
15,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,28.85392042,1747.997081,130.4957987,3.425671493,91.42602363,0.171638133,5.502269114,4.370888955,8.088745219,NaN,,,,,
30,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1900.958086,130.2395337,2.751128395,99.98414572,0.280512148,6.275748642,3.34524278,7.032040997,NaN,,,,,
60,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,1541.707303,69.4034825,249.3885732,331.9207528,2154.449868,179.4122187,12.20855027,138.3035364,0.424761474,4.838217131,3.826395145,6.605928939,NaN,,,,,
120,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,82.05585749,0,0,2015.799008,97.00850297,5.905522817,103.9674171,0.372458994,5.408903048,3.543167184,7.040668167,NaN,,,,,
240,0,0.625,0,0,0,0,0,0,0,0,0,0,ACHN,0,138.9294443,0,0,2153.942662,112.7164145,6.643068647,115.6855362,0.258570623,4.395726269,3.633362481,6.823858611,NaN,,,,,
0,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2032.463912,145.7040401,8.191662137,91.58093161,0.322195227,5.044662018,2.810173139,6.734012446,NaN,,,,,
5,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,47.79115593,1912.999742,134.4505848,4.084843877,83.08205914,0.670316032,5.739736577,2.956551273,8.800697413,NaN,,,,,
10,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,175.2744883,1799.438271,142.6679283,3.234049718,96.31180903,0.805248882,5.85332711,3.337366939,7.029607299,NaN,,,,,
15,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,152.7125507,0,0,1834.877326,138.87169,4.308264303,101.3587345,0.289665128,5.310649847,3.974242085,7.560248105,NaN,,,,,
30,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2040.616,159.7743975,10.31746505,117.2026203,0.269030283,5.166610745,3.511603973,8.042131151,NaN,,,,,
60,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,708.3062884,0,258.3728782,361.5375677,2136.904279,166.8272341,9.994883579,119.55108,0.590839802,5.29900205,3.780861301,7.217566403,NaN,,,,,
120,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1920.867659,93.65668173,4.72853125,97.46642828,0.232279012,5.840684468,3.822714978,7.622233737,NaN,,,,,
240,0,2.5,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2054.409936,110.1189545,7.088367965,116.0527078,0.138456941,5.227580027,4.701405429,4.818736337,NaN,,,,,
0,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2087.712263,146.3973838,3.311041546,91.65316422,0.282013149,5.147742898,3.461238719,6.543328575,NaN,,,,,
5,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,0,28.44479418,0,0,1851.748165,135.7102957,2.970438624,94.44785551,0.776518479,7.633417972,3.307152735,7.71443836,NaN,,,,,
10,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1611.045564,129.0443157,5.760904757,95.04177533,0.552504615,5.158061403,3.498013393,7.845076983,NaN,,,,,
15,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,532.9100529,0,73.73098511,288.663715,1696.725018,128.9914774,5.017162207,99.60635315,0.254136965,5.608414916,4.349164186,7.42456763,NaN,,,,,
30,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,368.97779,0,111.7170478,57.75505867,1880.472453,147.2476372,14.21919142,119.8162005,0.330052555,7.403426395,4.15535044,6.81854007,NaN,,,,,
60,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2167.599569,167.5834843,6.41094642,120.9024605,0.513225006,5.121777463,4.195469504,6.67617653,NaN,,,,,
120,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,1092.961607,0,0,0,1803.894207,88.57567498,4.771956114,97.30605405,0.340270864,6.559990676,4.669440166,7.337101184,NaN,,,,,
240,0,10,0,0,0,0,0,0,0,0,0,0,ACHN,0,123.9237358,0,719.1599425,2023.272974,89.35123008,4.737228453,97.83492793,0.216532212,5.05453124,5.348105802,6.898287434,NaN,,,,,
0,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1900.63377,126.6415111,1.190738902,74.69932882,0.374864606,5.705145234,3.666548723,7.228444271,NaN,,,,,
5,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,66.56133716,112.6886254,1681.235479,124.3252318,7.677473121,86.35695434,0.656506053,5.794360846,3.000655044,8.12239896,NaN,,,,,
10,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1613.775112,125.2752176,5.702783598,79.40852558,0.391217273,5.833187005,3.123846173,8.430177479,NaN,,,,,
15,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1731.02481,131.6200866,3.376133258,87.91560983,0.297366427,6.272170121,4.346778379,7.888822445,NaN,,,,,
30,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,49.6825549,196.6168041,1942.883825,148.00602,7.842431974,107.993586,0.304434723,5.198319896,3.074852154,6.975462942,NaN,,,,,
60,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,982.7040004,238.9311926,0,384.5210042,2051.626196,167.2397141,10.47307165,120.7229809,0.268532558,6.248866147,3.69293045,8.899979003,NaN,,,,,
120,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1797.265289,87.70724487,3.291855729,84.16399619,0.26776063,5.199282955,3.450575145,6.69862152,NaN,,,,,
