time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
90,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,82.23450072,3.995774412,0.168150388,233.2190406,24.30694699,2.335588611,0.495690417,2.028610212,0.542487125,0.159498726,1.065105667,0.841026873,0.684843881,1.131056406,,,,,
120,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,84.73119149,3.558047864,0.070632807,180.4983125,26.72071465,3.039321001,0.515596922,2.507702738,0.499518959,0.151917447,1.124201973,0.796546316,0.77334385,1.11588413,,,,,
240,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,81.82997197,6.607277089,0,188.5028047,22.6501111,2.578156232,0.541935036,2.473778797,0.441162808,0.12737531,1.062365053,0.795056717,0.697696259,1.055968951,,,,,
0,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.906501308,2.219018302,NaN,64.93824427,26.38692972,2.608274516,0.386343755,2.050958196,0.216707003,0.177598604,0.66516151,0.452916577,0.5283235,0.966111326,,,,,
2,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,139.0231121,8.340805133,0,0,25.54007533,2.572614525,0.414959969,1.896861313,0.818006464,0.481473017,0.674485958,0.837883137,0.56849934,1.269894776,,,,,
4,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,173.7114493,6.692876483,0,0,26.99478884,2.640122878,0.531095469,2.211470212,1.143428355,0.3990907,0.767880743,1.220953633,0.70870907,1.311324113,,,,,
6,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,149.5313288,5.667625976,0.307396291,216.8380126,24.48677933,2.398529035,0.4060026,1.991508604,1.203031038,0.228021249,0.838693774,1.331613299,0.732517617,1.314348102,,,,,
8,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,139.2199694,2.90834307,0.143486051,176.8415014,24.74730489,2.23282202,0.37067293,1.737709213,1.114371233,0.152972356,1.010549379,1.256368335,0.757050406,1.311877615,,,,,
10,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,167.2166258,5.877383591,0.057074679,228.9114145,32.16924094,2.729521546,0.439045606,2.141173093,1.111421114,0.164015064,1.059101,1.20997619,0.748951124,1.279080868,,,,,
15,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,136.7215006,3.288407854,NaN,107.4070397,23.56073226,2.583253038,0.6302531,1.916703973,1.091473685,0.14768043,1.110853967,1.217999418,0.71764924,1.209804874,,,,,
30,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,139.0691422,3.361755095,0,72.35896799,22.27302693,2.190525716,0.430727522,1.778215231,0.816043148,0.134713096,1.130658308,0.963855554,0.675364402,1.14210427,,,,,
