time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
240,2.5,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,353.2479278,891.9094432,0,0,278.0928251,31.39939868,6.915942237,7.108080229,0.200313732,6.273358687,3.298602224,9.273431066,NaN,,,,,
0,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,15.46541621,344.4771611,0,0,310.6058876,48.02445976,6.009845714,15.09009823,0.222544114,6.925038149,4.28358849,10.95415584,NaN,,,,,
5,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,9.121374541,60.996502,33.80189652,0,347.232133,54.05961862,5.537703459,14.11592357,0.268226287,6.586684049,3.354025742,11.40692067,NaN,,,,,
10,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,9.13562913,214.8830687,100.228924,0,402.0470474,63.51509199,7.516082873,11.15237357,0.261159572,6.699228551,3.543111557,10.91105119,NaN,,,,,
15,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,33.96358262,346.5669746,74.93084474,70.13560855,375.2699466,63.96631784,6.43071732,15.02013302,0.22158668,6.693544965,3.767009965,11.68616047,NaN,,,,,
30,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,12.64547504,449.5606979,0,163.6076715,390.3547183,64.00470005,6.299669009,14.60988318,0.269353529,6.206265365,3.635406333,11.02369289,NaN,,,,,
60,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,6.376590042,0,378.6142439,285.7563897,329.6101873,43.66052154,3.128518696,6.502019831,0.246501035,6.618823161,3.758831392,10.82216397,NaN,,,,,
120,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,20.10687341,22.01926122,0,0,371.8285557,40.78468085,1.043135556,10.16154721,0.208352683,6.465005399,3.511815245,9.49576751,NaN,,,,,
240,0,0.15625,0,0,0,0,0,0,0,0,0,0,MDAMB231,19.30923484,0,0,51.49384081,383.0281961,43.65689541,1.801103004,9.61380476,0.181139492,6.592014615,3.391598048,9.847491304,NaN,,,,,
0,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,9.498308166,229.0401915,0,0,377.8312547,58.56189705,7.421709449,14.92245385,0.204127996,6.668600982,3.762880415,9.789492908,NaN,,,,,
5,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,10.95552709,346.0802009,0,0,358.2037247,55.81577215,4.993596253,12.53874612,0.318225797,7.137313481,3.39789676,10.64035987,NaN,,,,,
10,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,6.108961422,0,0,0,384.9155602,64.64857482,3.812464754,15.09270318,0.277572787,6.807575276,3.717535678,10.5828737,NaN,,,,,
15,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,4.022212824,0,0,0,363.8754208,60.11592042,3.972555896,14.20870003,0.193734389,6.312977182,3.370557113,10.83809297,NaN,,,,,
30,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,6.856688323,0,121.6341933,23.29513856,345.4999807,57.67106519,5.837034941,15.89074365,0.261819702,6.932499572,3.878172368,10.06995066,NaN,,,,,
60,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,165.9053696,0,0,52.03229712,339.17152,53.52097813,0,10.63391425,0.281664164,6.174467887,3.512230728,10.50421036,NaN,,,,,
120,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,13.71827387,0,0,488.9095088,330.8264642,31.41075339,0,7.241026796,0.252511267,5.400440275,3.272898207,10.38686375,NaN,,,,,
240,0,0.625,0,0,0,0,0,0,0,0,0,0,MDAMB231,265.7904493,164.9090253,24.22036066,0,361.1041132,38.73626088,3.727212539,11.27247438,0.22993221,6.714820832,3.392292758,9.554501997,NaN,,,,,
0,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,7.194184638,682.3793947,0,0,388.2793431,61.30100363,6.045527143,13.1073359,0.229173224,6.90603089,5.144146334,10.99762403,NaN,,,,,
5,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,10.18399132,0,44.37043685,0,375.9978732,55.55623077,4.639485219,12.36802288,0.286778731,6.702441092,3.650700203,11.74473854,NaN,,,,,
10,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,3.367572484,108.6392661,0,0,365.7979931,58.87804054,4.574834826,13.35748242,0.28367477,6.558022341,3.734033386,10.54733605,NaN,,,,,
15,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,5.381070857,0,0,0,357.3561693,58.19248862,5.452329824,13.12279608,0.242588056,7.384520451,4.557021886,10.19816395,NaN,,,,,
30,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,15.54529113,0,0,0,355.3053052,59.03695424,5.454912835,13.37723193,0.300297023,6.08283439,3.500166063,10.50577845,NaN,,,,,
60,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,42.58418633,0,0,0,319.7288833,51.5968114,0,9.962789119,0.215422343,6.653931105,3.676198801,11.03286857,NaN,,,,,
120,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,15.66621491,155.0720309,0,0,338.5375498,35.30397358,3.871921853,8.352768564,0.189803723,6.656839463,3.811598955,9.883160173,NaN,,,,,
240,0,2.5,0,0,0,0,0,0,0,0,0,0,MDAMB231,154.4533888,319.0859344,0,17.31325893,331.7925343,35.0111783,2.838028528,10.57052395,0.158093901,6.031553019,3.189406236,9.436546354,NaN,,,,,
0,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,5.629874006,884.6855075,0,52.31241634,390.0714516,57.39307963,6.352532561,11.46701321,0.205666055,6.180872329,3.768335598,10.06007891,NaN,,,,,
5,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,8.412607316,382.5871353,0,0,341.6360136,50.32191382,2.657559888,10.7871957,0.306940799,7.113669847,3.566955565,10.48861955,NaN,,,,,
10,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,1.056988696,94.66289788,47.34509423,98.68590255,391.490798,59.06907428,5.109576203,12.76589235,0.271079942,6.37443931,3.575428313,9.924904796,NaN,,,,,
15,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,0,49.09963262,58.84667853,146.6803511,354.8614412,55.4920142,6.87424985,11.35323392,0.253932325,6.0463323,4.12997888,10.47623196,NaN,,,,,
30,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,2.933920339,181.4381077,97.70151798,204.1984448,371.8436491,59.72385151,11.58502454,13.81428749,0.295140597,5.8419811,3.849176059,11.00583729,NaN,,,,,
60,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,8.99297241,0,0,0,361.1725949,55.24615906,0.472251407,9.285259298,0.226328742,6.84677458,3.664959212,10.49202785,NaN,,,,,
120,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,14.28501429,113.1755154,0,0,362.1772222,28.58978889,0,5.137395712,0.26073192,5.602718737,3.070890947,9.873805976,NaN,,,,,
240,0,10,0,0,0,0,0,0,0,0,0,0,MDAMB231,21.85321765,0,116.9971843,0,340.3414881,32.85515559,0,6.957075223,0.247927265,6.637735912,3.230907201,8.986513869,NaN,,,,,
0,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,5.854992108,268.7054761,0,0,400.0727321,47.58769428,0,5.910249626,0.21770945,6.632848473,3.73005108,10.85837161,NaN,,,,,
5,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,18.39155941,0,0,0,428.0405929,61.82212149,2.590568253,11.71961143,0.313142334,6.621151919,3.243980523,10.9075238,NaN,,,,,
10,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,14.59767559,88.7951512,0,0,368.7476156,60.40745589,4.701450694,13.2145238,0.237889011,6.978012565,3.452693979,10.60504224,NaN,,,,,
15,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,5.705023547,0,0,0,397.9017303,66.01549504,7.074243598,13.94843838,0.236900291,6.604581195,3.737038931,10.98593658,NaN,,,,,
30,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,2.950105789,0,0,99.28961141,357.2583697,54.95690312,5.346152802,12.21229755,0.246607206,6.337816501,3.411853574,10.75017079,NaN,,,,,
60,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,20.58585603,0,0,23.6985559,387.8475821,60.44656313,0,11.50499927,0.204345153,6.934806483,3.789621478,11.34431261,NaN,,,,,
120,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,18.78738478,0,0,0,393.514161,37.62624822,0.984125787,7.684438017,0.19783116,6.308858593,3.21428258,9.662850352,NaN,,,,,
240,0,0,0.15625,0,0,0,0,0,0,0,0,0,MDAMB231,12.19099996,250.4483622,0,0,425.2883349,38.37680339,5.691637622,11.55598932,0.262860266,6.510157488,3.307843933,9.847963634,NaN,,,,,
0,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,1.405732219,0,0,0,353.8928084,52.53607402,0,5.741860335,0.230004684,6.860135311,3.771236688,9.613402277,NaN,,,,,
5,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,12.560375,0,0,0,402.2235809,51.85883853,1.237370938,6.89448239,0.306190715,6.944646823,3.297329107,10.20968251,NaN,,,,,
10,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,9.356265575,67.6002925,66.05524768,101.6374152,376.7070712,58.04005349,8.575296716,11.56686562,0.329316004,7.477644889,3.64974926,10.33605284,NaN,,,,,
15,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,5.41884993,237.9675421,0,113.3739952,418.841099,62.61165769,6.138757545,11.91585617,0.277017512,7.358273178,3.966794663,9.774544869,NaN,,,,,
30,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,11.92475534,138.0873027,0,110.0447345,379.9477541,58.90435342,3.697964098,10.7760201,0.274068363,6.410193387,3.789381508,9.563499265,NaN,,,,,
60,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,22.00058355,105.3589278,0,369.7174771,392.1375775,62.75528258,2.439992438,10.38078509,0.25350029,7.409128907,4.037075768,11.77098027,NaN,,,,,
120,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,36.87350602,0,0,40.85892018,401.4798668,38.10438695,2.109194471,4.720198996,0.259513665,6.455437056,3.369228512,10.35441398,NaN,,,,,
240,0,0,0.625,0,0,0,0,0,0,0,0,0,MDAMB231,12.08124108,162.6482813,14.7455967,0,392.9576085,37.00202625,6.312095729,9.617557269,0.307815731,7.190574194,3.463903568,10.51824362,NaN,,,,,
0,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,1.290721493,0,0,0,359.6047893,49.34775337,0,4.994300124,0.212600697,6.612346487,3.444502382,11.35991081,NaN,,,,,
5,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,19.3528944,0,0,0,402.3316977,55.58153162,1.63009077,6.341090876,0.310516952,8.068814231,3.34914534,10.43243632,NaN,,,,,
10,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,5.599782759,189.3426207,60.67979361,112.637721,378.8391035,53.92849684,5.807296356,11.93599719,0.282364941,7.83805558,3.522482409,11.10998238,NaN,,,,,
15,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,12.19493673,0,0,200.5777791,383.2983981,54.66710205,6.002577996,10.1036017,0.279871925,6.958944364,4.236505079,11.02160049,NaN,,,,,
30,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,12.9510293,0,49.43597088,157.5708463,395.9523084,61.61165197,5.994028282,11.86189916,0.257458865,7.03383613,4.30954952,10.08796363,NaN,,,,,
60,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,22.68507921,0,0,0,379.2404949,60.12148464,1.064830108,8.497186859,0.213748882,7.967076584,4.784569294,11.71093199,NaN,,,,,
120,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,23.21805138,54.95849721,0,25.80206041,428.8803554,39.04885162,4.914104046,7.68485338,0.201391038,6.592012657,4.030583286,9.509492949,NaN,,,,,
240,0,0,2.5,0,0,0,0,0,0,0,0,0,MDAMB231,5.176542145,275.259579,56.48619382,34.61496261,347.378236,33.57010958,5.020244718,10.45994232,0.186916018,6.733945706,3.656691742,9.777243917,NaN,,,,,
0,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,14.25752957,114.8541206,130.5301024,38.96711228,353.9519322,83.2654591,0.847824045,6.155398763,0.231500805,6.716685625,3.064784226,8.999039195,NaN,,,,,
5,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,43.75051656,0,0,29.06329669,410.152695,52.12084875,3.786639873,7.883132902,0.30755144,7.764534694,3.729442203,10.00226348,NaN,,,,,
10,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,24.31699213,202.8920073,86.81273155,286.2252954,416.6038435,58.19164451,10.4779459,14.43240255,0.27740254,8.740331643,3.839902123,10.35097167,NaN,,,,,
15,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,28.34705985,0,0,72.27985781,418.5406841,61.01817522,5.973360852,11.72609721,0.265639936,7.211344754,3.689227648,8.966845871,NaN,,,,,
30,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,31.53010533,58.8256323,0,115.0329012,391.5795004,58.04338223,7.224067079,12.72853169,0.247066019,6.852019065,4.540771546,9.275495164,NaN,,,,,
60,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,24.17372747,48.52636847,0,199.4005818,428.8680618,59.65196037,1.627821618,11.93252908,0.176705231,8.565907565,5.181543458,11.27141774,NaN,,,,,
120,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,27.72382492,62.80643326,22.78697687,0,456.4405306,43.170343,6.419516372,11.29359035,0.292211547,7.124028513,4.442800445,9.899845246,NaN,,,,,
240,0,0,10,0,0,0,0,0,0,0,0,0,MDAMB231,7.544488807,120.1100714,58.06526431,775.5734746,401.0483454,41.9154414,8.508982482,12.08646066,0.262300558,7.06402265,4.06539219,9.366299695,NaN,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,10.44414048,0,207.5015916,0,346.48139,46.62745543,3.068190223,7.746491189,0.207222087,5.973750254,3.686427718,9.231793202,NaN,38.12789197,4.492566734,0.928395475,1.944576831,4.902001374
5,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,21.95708336,0,0,76.68780672,347.0617846,41.21529847,0,7.588557719,0.267310442,6.67667556,3.665768898,10.32339234,NaN,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,38.657241,0,0,401.654867,400.1726265,53.74391339,3.755336169,10.45561326,0.266138524,7.163013507,3.876053466,10.42626101,NaN,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,20.87274078,118.8229731,0,229.1911583,371.9735151,51.16005999,9.84483648,14.08731247,0.222574529,5.711620501,4.163478355,9.694102863,NaN,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,32.84652862,236.3208208,145.3250101,282.1767184,384.9260729,50.15250327,5.549495942,13.29057073,0.263610634,7.23523791,4.019103025,10.20245732,NaN,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,30.51664781,199.2213334,0,156.210506,356.8588527,52.22530552,2.301172216,12.17223403,0.232854075,6.680913932,3.970840722,10.25740246,NaN,,,,,
120,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,26.56039236,131.2311022,56.33178205,18.30630397,421.6881302,40.8770664,7.329053479,14.53687743,0.3104305,5.020427404,3.217046831,10.14469656,NaN,,,,,
240,0,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,10.12058882,385.5259234,37.23106808,0,393.7033138,40.25612868,5.219281917,13.06487123,0.244720273,6.220985319,3.456877291,9.604271345,NaN,,,,,
