time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
10,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,2173.412789,41415.80273,,,,,,
20,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,2867.923952,49848.51603,,,,,,
30,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,3089.06535,43044.43834,,,,,,
60,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,3694.554736,36421.32017,,,,,,
90,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,3086.945784,29979.16151,,,,,,
120,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_218,,3510.152484,34213.61411,,,,,,
2,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,65.64612476,4.934643359,1.188344048,3.3311,10.72007962
3,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
4,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
5,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
7,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
10,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
20,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
30,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
60,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
90,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
120,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_218,,1155.314533,9820.271758,,,,,,
2,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,32247.79691,57693.55614,59983.4169,,,,,
3,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,32157.03242,101690.6979,88716.89966,,,,,
4,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,35383.58952,138828.6877,102903.2961,,,,,
5,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,33495.43632,116769.9194,86847.43458,,,,,
7,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,39570.66049,152448.7382,104322.2677,,,,,
10,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,45995.39475,130387.7952,104206.279,,,,,
20,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,44587.53058,139861.633,101572.4686,,,,,
30,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,42701.65035,133539.0196,109245.6104,,,,,
60,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,35850.92138,119296.4343,83558.81354,,,,,
90,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,26125.53392,163126.5256,72902.97324,,,,,
120,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_200,,23155.37239,137204.6408,54599.62302,,,,,
2,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,31050.45809,61847.67646,86327.60601,,,,,
3,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,27743.15294,89460.23067,115380.1038,,,,,
