time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
120,2.5,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,807.3584785,0,0,87.05710583,428.6863957,0,3.7646616,0.270044476,18.93294372,20.50566751,6.930046672,NaN,NaN,,,,,
240,2.5,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,234.0134898,0,0,105.3623179,453.3953374,0,4.950356333,0.454346388,23.13868613,22.16360002,7.046782504,NaN,NaN,,,,,
0,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,267.4656222,638.9643367,67.71848043,466.3292201,511.7542342,842.5077349,11.22922808,17.60653948,0.123886215,13.79919442,5.49844078,7.344275186,NaN,NaN,,,,,
5,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,180.7161994,1611.073572,0,288.381145,576.6965326,942.9135157,5.234157309,15.71973203,1.274459633,22.06948651,6.10067214,9.506982287,NaN,NaN,,,,,
10,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,1738.733932,0,219.4210934,632.5603897,1059.055865,7.431854137,17.0539842,0.822400823,25.15890151,9.998970746,7.999571545,NaN,NaN,,,,,
15,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,1456.107742,0,151.8437671,609.5512667,933.5388564,7.22160648,19.12046149,0.615934585,32.92474877,19.03151421,8.754360105,NaN,NaN,,,,,
30,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,1167.306134,0,199.4317529,473.779439,836.7058582,3.765073735,15.27017635,0.606569288,21.83871899,12.54536949,8.175667783,NaN,NaN,,,,,
60,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,790.5549576,0,452.2518378,479.8230835,763.1287362,5.178109041,12.85585698,0.473134629,22.41168041,15.96838055,7.827277711,NaN,NaN,,,,,
120,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,340.830593,20.68918693,0,456.0776569,559.1216242,2.326762298,7.731262283,0.19037888,21.05819898,19.13273952,7.136039134,NaN,NaN,,,,,
240,0,0.15625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,279.1681215,11.39202004,0,592.4941295,689.8672534,2.167222439,12.08667114,0.246056391,25.31372077,19.77260724,6.308469308,NaN,NaN,,,,,
0,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,1282.300733,1186.172266,83.10610986,123.382357,612.3579419,964.6541719,10.13366897,17.44097119,0.196450338,15.28525014,4.346007331,7.052363566,NaN,NaN,,,,,
