time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
90,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,54.28606734,5.667611891,0.50214516,457.0625872,10.06933672,6.958932673,0.880729731,9.946220903,0.291493515,0.233879603,0.948223957,0.234689705,0.694279719,0.748687854,,,,,
120,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,32.57759534,4.589708658,0.401748042,419.0772822,8.15373723,7.179386588,0.940904264,9.308471813,0.293120206,0.237940359,0.939225822,0.232954972,0.707075852,0.718815549,,,,,
240,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,22.50566595,4.409550238,0.563841665,363.4772106,5.903775477,8.860029591,1.041701999,11.20170201,0.263655729,0.213367794,0.869405882,0.223723736,0.593615945,0.714276636,,,,,
0,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,7.263381746,2.297533523,1.176095021,321.2380608,15.64121682,8.007946519,0.763499199,11.20689878,0.10256238,0.176899324,0.329621772,0.160005137,0.39194874,0.621738521,,,,,
2,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,162.0268722,13.6956926,0.369167235,326.9125154,14.64920374,7.398353727,0.713384219,10.12612133,1.128647986,0.359026819,0.519043979,0.449073931,0.513395139,0.833708295,,,,,
4,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,156.5084061,8.662746277,0.302716187,394.7117764,15.39940769,8.087496408,0.833953096,11.90520463,1.170348526,0.313826466,0.53671599,0.430485009,0.55666887,0.819996981,,,,,
6,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,152.0778681,7.44647652,0.525794835,517.2813134,14.00573074,7.344970724,0.873513863,10.54052675,0.952994273,0.232801914,0.709904474,0.378471406,0.671132784,0.792949609,,,,,
8,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,130.6266329,6.518060803,0.45645069,502.0776742,15.78569354,7.885818426,0.981708847,10.53486363,0.566989905,0.178153819,0.717674344,0.288523458,0.650099132,0.731989595,,,,,
10,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,126.1471163,6.428824108,0.569232789,403.5726126,15.54231347,8.094742388,0.924074579,12.27738695,0.44261938,0.160492747,0.843885465,0.252817555,0.61410117,0.703223346,,,,,
15,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,85.9946338,4.690725453,0.279342108,521.3363261,13.89218667,7.153012726,0.724456511,9.57360711,0.398767754,0.138534859,0.895828824,0.246280159,0.575881167,0.682491155,,,,,
30,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,56.84461456,3.632826384,0.281949473,448.9907344,13.27134879,6.94475306,0.774181604,8.913336345,0.444921274,0.223026821,0.917247833,0.245594949,0.625802837,0.723236915,,,,,
60,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,43.30839384,3.590638885,0.324389645,432.5723518,10.01001201,6.816719132,0.839402598,9.808046275,0.341980849,0.249442307,0.964665679,0.224183512,0.688881214,0.696644381,,,,,
90,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,37.64679118,4.063927279,0.406700364,428.0585553,8.785283329,6.716764221,0.901983553,10.1800958,0.2871048,0.247887579,0.99179709,0.231724396,0.676170298,0.724837134,,,,,
120,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,29.17350497,4.163982337,0.452651474,426.9544686,6.58253317,7.205958258,0.965991276,10.07385432,0.272979477,0.221932438,0.907459313,0.225589456,0.655894641,0.695986058,,,,,
240,2.5,0,0,0,0,0,0,0,0,0,0,0,H322M,19.02583362,4.068260969,0.531973999,378.5323592,4.517555965,8.620546246,0.977832703,11.23780293,0.260785753,0.218652566,0.898562224,0.218530567,0.586631427,0.701591756,,,,,
0,10,0,0,0,0,0,0,0,0,0,0,0,H322M,6.621419314,1.96696644,0.370618901,293.8885248,16.44193388,8.394129763,0.765002944,11.20833329,0.095199739,0.172321712,0.324624236,0.156913783,0.376747437,0.627432577,,,,,
2,10,0,0,0,0,0,0,0,0,0,0,0,H322M,259.0665113,15.54091135,0.528251218,407.0595323,14.62592664,7.413886594,0.669634831,9.956067608,1.057520986,0.350264851,0.499120228,0.423106596,0.479317858,0.863000967,,,,,
4,10,0,0,0,0,0,0,0,0,0,0,0,H322M,201.3250408,10.13055288,0.279928093,422.3209855,15.55225432,8.225911708,0.847867855,10.76117967,1.091996052,0.305149337,0.541719423,0.394255461,0.575739712,0.857287804,,,,,
6,10,0,0,0,0,0,0,0,0,0,0,0,H322M,184.2575864,8.251053118,0.698934793,529.0607643,13.49004322,7.541752731,0.872929009,10.3048816,0.859236349,0.242416087,0.715784524,0.340374796,0.637862955,0.829420612,,,,,
8,10,0,0,0,0,0,0,0,0,0,0,0,H322M,142.3906137,7.67866219,0.384466537,539.3579735,14.6436243,7.796798864,0.919434649,10.24453285,0.470365733,0.162448605,0.676319585,0.260771853,0.611317885,0.70298993,,,,,
10,10,0,0,0,0,0,0,0,0,0,0,0,H322M,137.4009867,7.48037212,0.747422352,513.6511377,15.33717873,7.729171671,0.838721976,11.42245892,0.336814934,0.144022773,0.831064033,0.231982468,0.574422488,0.673837688,,,,,
15,10,0,0,0,0,0,0,0,0,0,0,0,H322M,86.42872714,4.223468213,0.285471494,519.070409,13.90746995,7.111882117,0.727682564,9.587783615,0.323108744,0.131904179,0.881107565,0.226021902,0.554273066,0.683386001,,,,,
30,10,0,0,0,0,0,0,0,0,0,0,0,H322M,52.20136599,3.490316008,0.240209869,420.3251438,12.55725488,6.786392449,0.759696539,9.040010337,0.408285288,0.226643424,0.916885474,0.247498987,0.597019344,0.761265103,,,,,
60,10,0,0,0,0,0,0,0,0,0,0,0,H322M,35.03748244,3.179080933,0.328130116,430.0215137,9.251468217,6.772531694,0.779693804,8.934724374,0.300197566,0.233307673,0.815784135,0.222494067,0.628980212,0.732747894,,,,,
90,10,0,0,0,0,0,0,0,0,0,0,0,H322M,34.86521938,4.218349117,0.329540855,468.9819207,8.102018333,6.838105483,0.943930504,10.78946645,0.258962191,0.230974893,0.92076235,0.218569262,0.646360984,0.729420493,,,,,
120,10,0,0,0,0,0,0,0,0,0,0,0,H322M,26.94152633,3.591975731,0.458310925,404.5947295,6.172517225,7.1660131,0.893442737,10.08459857,0.262528995,0.21586179,0.846113508,0.228837412,0.625757268,0.725310561,,,,,
240,10,0,0,0,0,0,0,0,0,0,0,0,H322M,18.15842888,4.482108254,0.634843205,415.6010423,4.068549513,8.204985211,1.00726729,11.07065771,0.260111392,0.227051231,0.900558397,0.220232916,0.60002731,0.734232326,,,,,
0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,6.768721711,1.84712076,0.446385716,259.5279978,16.517397,8.151043282,0.830756914,10.9167423,0.109293248,0.183529457,0.362891406,0.16056434,0.395308522,0.618026573,,,,,
2,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,157.1608762,15.41756055,2.272816041,352.0889327,15.87018674,7.845220585,0.667636996,11.52151004,1.327499266,0.656613448,0.569611617,0.502401916,0.54865253,0.899009369,,,,,
