time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
120,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,363800.5843,2425.007297,287.4408009,105.3571568,3725.633571,254.0158026,69.83288783,154.3010161,1.134544893,17.54606212,8.728428453,10.16756323,NaN,NaN,,,,,
240,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,152849.4319,1526.500401,279.1095427,517.8800874,3175.042588,270.4669078,72.03245017,189.7284607,0.785862157,15.89507129,7.949851238,10.11356486,NaN,NaN,,,,,
0,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,679.3493881,560.6269853,204.2135936,459.7305071,4820.7239,1003.957609,88.49787551,202.1197297,0.102149736,10.29871194,5.103387005,6.104720657,NaN,NaN,,,,,
5,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,597.4789276,915.8972921,832.2546532,257.556525,6444.815563,1022.294789,89.12479265,173.1467603,1.144395668,23.09519514,4.945867348,7.758304578,NaN,NaN,,,,,
10,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,344.1695656,1018.177321,870.3525943,155.4813764,5849.837322,960.5697303,82.95968015,188.6694084,0.704343964,17.82420135,4.60916829,7.897338742,NaN,NaN,,,,,
15,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,869.0214153,849.4097035,886.9613154,177.0081242,6289.357967,852.6527502,74.8933279,170.636383,0.378631969,17.54298792,5.989197388,8.199665753,NaN,NaN,,,,,
30,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,321.2989162,791.5789943,975.7325318,164.767858,6462.977476,1085.98847,79.53714993,204.4426958,0.615772097,23.74851905,5.939171391,7.135833415,NaN,NaN,,,,,
60,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,929.0142453,431.84458,1357.688124,0,5452.253532,793.9734305,49.57441822,196.5439357,0.333536223,19.0117663,6.254333379,7.806691902,NaN,NaN,,,,,
120,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,1138.058449,293.8170723,791.4676583,0,5559.83825,312.171897,52.69351535,169.7362612,0.359934846,19.03604607,6.37682268,8.04484247,NaN,NaN,,,,,
240,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,465.732036,502.0696354,559.3008082,164.3023823,6003.067026,330.9664453,47.20820514,136.2783308,0.268444919,20.22309581,6.547788942,8.480814899,NaN,NaN,,,,,
0,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,535.483949,280.3363271,197.5160826,113.8440486,6277.756323,974.5287591,81.04807715,202.8125008,0.118599913,10.55822309,5.274366237,7.345589977,NaN,NaN,,,,,
5,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,803.3817289,1017.407081,1262.758863,0,5833.865709,973.9768574,73.08561077,192.9471182,1.254144973,18.8070543,4.118822396,9.674632671,NaN,NaN,,,,,
10,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,201.3027735,2127.136546,1217.796334,58.71416204,5629.998489,896.2520337,73.79803126,198.4154688,1.003810617,22.39149813,5.290953451,8.877077126,NaN,NaN,,,,,
15,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,263.5517982,909.5384262,1320.161183,189.6022606,5665.701888,818.666852,71.71761826,191.7019727,0.532340843,19.31638959,7.271440208,8.607551204,NaN,NaN,,,,,
30,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,200.6150897,880.4819759,1211.327071,72.90890502,5989.489797,959.5719923,72.45081797,207.8681016,0.575033974,18.58400012,5.516410827,8.124988827,NaN,NaN,,,,,
60,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,2754.505724,478.0518383,1129.329257,29.12700286,6358.795725,726.3301393,45.30962637,152.6917699,0.525099662,24.6579077,6.776113931,8.004011095,NaN,NaN,,,,,
120,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,365.7519002,306.8965893,962.6168385,0,5074.290206,272.4512456,43.95185485,161.2382502,0.430789844,22.57829249,7.059348012,8.074019015,NaN,NaN,,,,,
240,0,0.625,0,0,0,0,1,0,0,0,0,0,BT20,266.3230354,824.9912679,987.5369579,158.5992675,5946.241479,314.5138622,52.06671918,183.7971826,0.311500904,20.65366799,6.732741211,8.513407309,NaN,NaN,,,,,
0,0,2.5,0,0,0,0,1,0,0,0,0,0,BT20,245.2671282,539.1735979,161.0660701,0,5962.873249,968.7782629,80.88208521,204.2123999,0.141258385,11.52312165,5.597687771,7.043843605,NaN,NaN,,,,,
5,0,2.5,0,0,0,0,1,0,0,0,0,0,BT20,225.6939502,1226.462418,1642.929312,0,5538.946944,1028.12665,68.29631952,205.11998,3.417811957,21.78273565,4.652309098,9.875939163,NaN,NaN,,,,,
10,0,2.5,0,0,0,0,1,0,0,0,0,0,BT20,135.3735369,1142.611909,1537.398018,0,5614.010955,950.6927228,68.20552349,202.5482755,0.781332611,18.19239376,4.715663322,8.174588067,NaN,NaN,,,,,
