time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
120,5,14.6,0,0,0,10,299,330,321,NaN,Anja_2016_37
150,4,15.7,0,0,0,10,203,363,359,NaN,Anja_2016_37
150,5,10.2,0,0,0,10,200,331,330,NaN,Anja_2016_37
180,4,14.2,0,0,0,10,318,382,329,NaN,Anja_2016_37
180,5,11.9,0,0,0,10,277,374,322,NaN,Anja_2016_37
240,4,9.9,0,0,0,10,98.2,236,188,NaN,Anja_2016_37
240,5,3.11,0,0,0,10,92.3,226,179,NaN,Anja_2016_37
360,4,20.9,0,0,0,10,141,420,396,NaN,Anja_2016_37
360,5,22.4,0,0,0,10,133,367,382,NaN,Anja_2016_37
40,4,716,0,0,500,10,412,442,451,NaN,Anja_2016_37
40,5,696,0,0,500,10,410,445,472,NaN,Anja_2016_37
45,4,750,0,0,500,10,515,405,376,NaN,Anja_2016_37
45,5,706,0,0,500,10,485,395,370,NaN,Anja_2016_37
50,4,1260,0,0,500,10,583,469,430,NaN,Anja_2016_37
50,5,948,0,0,500,10,542,436,400,NaN,Anja_2016_37
60,4,1140,0,0,500,10,816,382,370,NaN,Anja_2016_37
60,5,1660,0,0,500,10,820,373,372,NaN,Anja_2016_37
70,4,764,0,0,500,10,789,305,331,NaN,Anja_2016_37
70,5,645,0,0,500,10,755,286,312,NaN,Anja_2016_37
90,4,1060,0,0,500,10,1670,386,347,NaN,Anja_2016_37
90,5,919,0,0,500,10,1530,355,330,NaN,Anja_2016_37
120,4,129,0,0,500,10,1960,399,463,NaN,Anja_2016_37
120,5,103,0,0,500,10,1920,412,460,NaN,Anja_2016_37
150,4,58,0,0,500,10,1990,362,361,NaN,Anja_2016_37
150,5,54.8,0,0,500,10,1890,350,347,NaN,Anja_2016_37
180,4,26.7,0,0,500,10,1840,479,448,NaN,Anja_2016_37
180,5,19.1,0,0,500,10,1770,426,399,NaN,Anja_2016_37
240,4,15.8,0,0,500,10,2060,419,458,NaN,Anja_2016_37
240,5,14.9,0,0,500,10,2050,417,454,NaN,Anja_2016_37
360,4,20.2,0,0,500,10,1240,425,446,NaN,Anja_2016_37
360,5,14.8,0,0,500,10,1230,422,448,NaN,Anja_2016_37
45,4,429,1,0,0,10,203,327,285,NaN,Anja_2016_37
45,5,414,1,0,0,10,198,305,286,NaN,Anja_2016_37
50,4,559,1,0,0,10,265,362,299,NaN,Anja_2016_37
50,5,598,1,0,0,10,271,368,298,NaN,Anja_2016_37
60,4,278,1,0,0,10,204,270,270,NaN,Anja_2016_37
60,5,253,1,0,0,10,207,262,273,NaN,Anja_2016_37
70,4,160,1,0,0,10,194,337,337,NaN,Anja_2016_37
70,5,159,1,0,0,10,194,342,338,NaN,Anja_2016_37
90,4,65.9,1,0,0,10,265,394,386,NaN,Anja_2016_37
90,5,88.9,1,0,0,10,267,391,390,NaN,Anja_2016_37
120,4,27.2,1,0,0,10,207,276,275,NaN,Anja_2016_37
120,5,25.4,1,0,0,10,201,281,265,NaN,Anja_2016_37
150,4,45.6,1,0,0,10,257,478,445,NaN,Anja_2016_37
150,5,43.3,1,0,0,10,252,478,455,NaN,Anja_2016_37
