time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
0,14,2.3,0,0,0,0,NaN,NaN,NaN,NaN,Anja_2018_25
0,15,1.85,0,0,0,0,NaN,NaN,NaN,NaN,Anja_2018_25
40,14,2260,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
40,15,2060,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,14,2540,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,15,2690,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,14,1370,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,15,1440,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,14,1030,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,15,970,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,14,191,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,15,186,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,14,57.1,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,15,55.7,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,14,50.9,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,15,50.8,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,14,173,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,15,188,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,14,157,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,15,153,0,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
40,14,813,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
40,15,816,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,14,1120,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,15,1140,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,14,1750,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,15,1800,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,14,2310,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,15,2240,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,14,1700,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,15,1790,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,14,521,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,15,504,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,14,203,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,15,173,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,14,111,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,15,109,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,14,95.7,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,15,114,0,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,14,2690,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,15,2370,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,14,1770,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,15,1780,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,14,1140,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,15,1100,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,14,356,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,15,323,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,14,162,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,15,146,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,14,103,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,15,99.1,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,14,79.8,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,15,77.4,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,14,75.1,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,15,68,1,0,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,14,974,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
50,15,963,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,14,1180,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
60,15,1210,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,14,965,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
70,15,954,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,14,879,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
90,15,873,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,14,426,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
120,15,421,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,14,308,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
150,15,307,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,14,245,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
240,15,224,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,14,180,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
360,15,159,1,10,0,10,NaN,NaN,NaN,NaN,Anja_2018_25
