timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
285,B10,synT5,sfp,0.004949997,0.004199997,-0.001228807,-0.198874523,0.004879823,0.009468195,1,T5
290,B10,synT5,sfp,0.004729998,0.004680002,-0.002154964,-0.312995794,0.004288455,0.010550289,1,T5
295,B10,synT5,sfp,0.005199996,0.003910003,-0.000552185,-0.095995729,0.005311858,0.008814452,1,T5
300,B10,synT5,sfp,0.004869999,0.004289997,-0.001441209,-0.22835711,0.0047442,0.009671087,1,T5
305,B10,synT5,sfp,0.005250003,0.00447,-0.001326015,-0.201644007,0.004817754,0.010076872,1,T5
310,B10,synT5,sfp,0.0054,0.004540002,-0.001279001,-0.191495886,0.004847773,0.010234682,1,T5
315,B10,synT5,sfp,0.004930004,0.004719998,-0.002013798,-0.290013721,0.004378593,0.010640452,1,T5
320,B10,synT5,sfp,0.004839997,0.004329998,-0.001530058,-0.240195427,0.004687469,0.009761262,1,T5
325,B10,synT5,sfp,0.005419997,0.004400004,-0.001053046,-0.1626818,0.004992049,0.009919078,1,T5
330,B10,synT5,sfp,0.005430001,0.004390001,-0.001028326,-0.159224885,0.005007834,0.009896527,1,T5
335,B10,synT5,sfp,0.005549998,0.004669999,-0.001320248,-0.192169,0.004821436,0.010527738,1,T5
340,B10,synT5,sfp,0.005630003,0.004569998,-0.001093126,-0.162591897,0.004966458,0.010302301,1,T5
345,B10,synT5,sfp,0.005580004,0.003940001,-0.00021631,-0.037318469,0.005526321,0.008882078,1,T5
350,B10,synT5,sfp,0.006170002,0.004709998,-0.000759087,-0.109550813,0.005179747,0.010617908,1,T5
355,B10,synT5,sfp,0.006130001,0.00517,-0.001475819,-0.19403814,0.004722101,0.011654907,1,T5
360,B10,synT5,sfp,0.005870001,0.005190001,-0.001765243,-0.231196624,0.0045373,0.011699995,1,T5
365,B10,synT5,sfp,0.006580001,0.005,-0.000775725,-0.105458604,0.005169124,0.011271671,1,T5
370,B10,synT5,sfp,0.006070002,0.00506,-0.001373992,-0.184577212,0.00478712,0.01140693,1,T5
375,B10,synT5,sfp,0.006069998,0.005350002,-0.00180063,-0.228778443,0.004514704,0.012060691,1,T5
380,B10,synT5,sfp,0.006339996,0.005580004,-0.001868998,-0.227676873,0.00447105,0.012579192,1,T5
385,B10,synT5,sfp,0.006549998,0.005249997,-0.001173508,-0.151939781,0.004915133,0.011835246,1,T5
390,B10,synT5,sfp,0.006159999,0.005540001,-0.001990146,-0.244185355,0.004393695,0.012489012,1,T5
395,B10,synT5,sfp,0.006769996,0.0053,-0.001027072,-0.131725385,0.005008635,0.011947969,1,T5
400,B10,synT5,sfp,0.007289999,0.006149998,-0.001757539,-0.194256084,0.004542218,0.013864148,1,T5
405,B10,synT5,sfp,0.007599999,0.00572,-0.00081495,-0.096845553,0.005144078,0.01289479,1,T5
410,B10,synT5,sfp,0.007120001,0.006159998,-0.001942249,-0.214323089,0.004424277,0.013886692,1,T5
415,B10,synT5,sfp,0.007409996,0.006360003,-0.00194649,-0.208036401,0.00442157,0.01433757,1,T5
420,B10,synT5,sfp,0.007780004,0.006170002,-0.001296965,-0.142885243,0.004836303,0.013909246,1,T5
425,B10,synT5,sfp,0.007959998,0.006649999,-0.001823116,-0.186353331,0.004500346,0.014991319,1,T5
430,B10,synT5,sfp,0.008120002,0.007159998,-0.002413393,-0.229118248,0.004123444,0.016141026,1,T5
435,B10,synT5,sfp,0.00877,0.006949999,-0.001454456,-0.142252689,0.004735742,0.015667619,1,T5
440,B10,synT5,sfp,0.00869,0.006930001,-0.001505037,-0.14762448,0.004703445,0.015622537,1,T5
445,B10,synT5,sfp,0.009139999,0.007480003,-0.00186417,-0.169405799,0.004474133,0.016862425,1,T5
450,B10,synT5,sfp,0.009759998,0.007549998,-0.001347144,-0.121286281,0.004804263,0.017020217,1,T5
455,B10,synT5,sfp,0.01028,0.007719999,-0.001077237,-0.094850303,0.004976603,0.017403456,1,T5
460,B10,synT5,sfp,0.010270002,0.008589996,-0.002367128,-0.187315294,0.004152985,0.019364719,1,T5
465,B10,synT5,sfp,0.010709998,0.008589998,-0.001927135,-0.152497775,0.004433929,0.019364724,1,T5
470,B10,synT5,sfp,0.011240002,0.009029999,-0.002044436,-0.15389705,0.00435903,0.020356633,1,T5
475,B10,synT5,sfp,0.011879998,0.009329999,-0.001845783,-0.134475651,0.004485873,0.021032934,1,T5
