time,EGF_level,HRG_level,HGF_level,IGF1_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,tEGFR_au,tErbB2_au,tErbB3_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
15,5,0,1,0,1,0,0,0,0,0,0,BxPc3,135.279653,5.272342926,0,24.77209374,2.829209199,0.567168646,1.157682826,0.508030479,1.061284364,1.390860043,0.812797858,,,,,
30,5,0,1,0,1,0,0,0,0,0,0,BxPc3,138.5626475,3.65523626,0,23.29962256,2.515346436,0.516356041,0.978358991,0.566647732,1.199678698,1.142408416,0.96536764,,,,,
60,5,0,1,0,1,0,0,0,0,0,0,BxPc3,161.6702531,4.245441737,0,22.21519562,2.474235435,0.526963191,0.683580467,0.589361067,1.11732785,0.881795033,1.031330138,,,,,
90,5,0,1,0,1,0,0,0,0,0,0,BxPc3,155.2768021,5.197502702,0,21.66297531,2.467717981,0.552778368,0.599801219,0.587977204,1.158839697,0.883814752,1.046721217,,,,,
120,5,0,1,0,1,0,0,0,0,0,0,BxPc3,162.6607271,5.560958352,0.769568889,24.07355516,3.2232591,1.251671922,0.536431393,0.563385491,1.122539051,0.817797761,1.035078372,,,,,
240,5,0,1,0,1,0,0,0,0,0,0,BxPc3,132.7420712,6.681606642,0,20.64650396,3.347171878,0.564973299,0.464181223,0.400544602,1.119201252,0.827862255,0.9829399,,,,,
0,0,5,0,0,1,0,0,0,0,0,0,BxPc3,1.902839341,2.279711005,NaN,30.81582994,2.981772057,0.646882064,0.229771223,0.184764776,0.675545697,0.468890873,0.518443805,,,,,
2,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.761073031,6.499668582,0.98254095,28.1903863,2.459143812,0.447759035,0.300309733,0.853079209,0.686101375,0.49638585,0.614348232,,,,,
4,0,5,0,0,1,0,0,0,0,0,0,BxPc3,4.19127138,5.361429372,0.915153202,31.13857075,2.869195791,0.451076658,0.59762096,0.982205908,0.729308925,0.710220816,0.724424525,,,,,
6,0,5,0,0,1,0,0,0,0,0,0,BxPc3,6.497761462,5.096905228,0.742196586,25.94903674,2.384248722,0.397864977,0.653924751,0.9457406,0.75752756,0.75729836,0.765101403,,,,,
8,0,5,0,0,1,0,0,0,0,0,0,BxPc3,7.303410472,2.942684513,0.368184256,28.10380962,2.25574558,0.402411025,0.643970817,0.798124637,0.91030122,0.75269141,0.854873411,,,,,
10,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.360774837,4.864300223,0.705960157,29.79683428,2.838066448,0.453688028,0.651023247,0.879315167,0.983498117,0.712838069,0.897292546,,,,,
15,0,5,0,0,1,0,0,0,0,0,0,BxPc3,2.586943999,3.310412472,0.291245339,28.96335049,2.808210988,0.462159398,0.683175914,0.825483752,1.03487707,0.822473024,0.910863207,,,,,
30,0,5,0,0,1,0,0,0,0,0,0,BxPc3,2.791310214,4.139624942,2.143905201,25.82913386,2.188752522,0.395676164,0.539911761,0.841641609,1.171009046,0.69714494,1.01678857,,,,,
60,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.08310846,2.620855833,0.167988213,25.07792188,2.556880976,0.360127072,0.353107885,0.805164386,1.115270667,0.581026475,1.103921176,,,,,
90,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.700726112,3.294374918,0.066061394,25.94964346,2.045629998,0.407786883,0.390281076,0.736477846,1.120267026,0.589064027,1.073068383,,,,,
120,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.197153351,1.949891097,0.196190353,31.29583657,2.783795743,0.434100117,0.404639863,0.652558002,1.123921581,0.598687631,1.092442605,,,,,
240,0,5,0,0,1,0,0,0,0,0,0,BxPc3,4.292477514,3.475074318,0.200455828,37.24827216,2.858196616,0.444590712,0.316082159,0.385222688,1.147549955,0.575822621,0.989000261,,,,,
0,5,5,1,0,1,0,0,0,0,0,0,BxPc3,0.632535821,2.149505273,0,32.93987675,3.087718387,0.510084777,0.229463225,0.186244992,0.637704129,0.457878671,0.521115881,,,,,
2,5,5,1,0,1,0,0,0,0,0,0,BxPc3,4.938607586,4.810005989,0.776808097,31.34039876,2.665141421,0.445470799,0.313472444,0.934403239,0.645811223,0.521098213,0.597643664,,,,,
4,5,5,1,0,1,0,0,0,0,0,0,BxPc3,3.333893575,4.814562524,1.207032171,34.79144831,2.814251227,0.485280854,0.661187454,1.065158331,0.658930428,0.736569409,0.670909115,,,,,
6,5,5,1,0,1,0,0,0,0,0,0,BxPc3,5.17240243,4.848923453,0.869774105,35.95360956,2.649806696,0.473156892,0.673880217,1.092076534,0.769132631,0.789794031,0.77708934,,,,,
8,5,5,1,0,1,0,0,0,0,0,0,BxPc3,4.259001826,2.918174131,0.305566151,31.42874721,2.374234964,0.382710771,0.709138518,0.997108265,0.900655258,0.785750139,0.827927945,,,,,
10,5,5,1,0,1,0,0,0,0,0,0,BxPc3,11.72781956,3.706778717,0.687159681,36.67870882,2.857203455,0.5183365,0.763459679,1.12497096,1.015449734,0.799501693,0.891474301,,,,,
15,5,5,1,0,1,0,0,0,0,0,0,BxPc3,3.891840425,3.348886493,0.342800678,28.95993978,2.898915703,0.501973827,0.735889367,0.95791128,0.984132015,0.890104638,0.838646328,,,,,
30,5,5,1,0,1,0,0,0,0,0,0,BxPc3,4.618792468,3.107174604,0.165663588,27.47744487,2.647091578,0.446802228,0.563766366,1.151056299,1.165009268,0.712188938,0.988119964,,,,,
60,5,5,1,0,1,0,0,0,0,0,0,BxPc3,6.054583576,3.95872006,0.262750411,27.97155396,2.79358435,0.48898807,0.398532367,1.154136383,1.119209393,0.625430613,1.118540114,,,,,
90,5,5,1,0,1,0,0,0,0,0,0,BxPc3,3.972249167,4.527674076,0.089875036,33.4420552,2.554849881,0.468431287,0.438164084,1.13997935,1.144489608,0.645938216,1.136222719,,,,,
120,5,5,1,0,1,0,0,0,0,0,0,BxPc3,3.564497284,2.198629555,0.563791831,35.03434713,3.22638991,1.269378991,0.450921254,1.06532954,1.14822854,0.656762601,1.17683066,,,,,
240,5,5,1,0,1,0,0,0,0,0,0,BxPc3,5.02585518,3.77619391,0.276165511,36.31301345,3.27787465,0.493270612,0.360370428,0.846223775,1.154833878,0.623636203,1.162734854,,,,,
0,0,5,1,0,1,0,0,0,0,0,0,BxPc3,0.968237151,0.545822826,0,24.04699851,2.465438307,0.32837613,0.236318104,0.1773642,0.65030512,0.4580864,0.527739838,,,,,
2,0,5,1,0,1,0,0,0,0,0,0,BxPc3,6.979526227,1.175931182,0,25.47469525,2.539849856,0.441750525,0.288200361,0.713635827,0.646872872,0.48553012,0.571094752,,,,,
4,0,5,1,0,1,0,0,0,0,0,0,BxPc3,4.447665493,2.818160042,0.330998756,29.9702223,2.88724701,0.483307399,0.478363557,0.823276474,0.680387953,0.640965186,0.672674347,,,,,
6,0,5,1,0,1,0,0,0,0,0,0,BxPc3,4.700359251,1.793127316,0.091449904,30.67662879,2.516988271,0.43389108,0.532003827,0.801441967,0.758970056,0.680046937,0.748258995,,,,,
8,0,5,1,0,1,0,0,0,0,0,0,BxPc3,0.757848294,0,0,28.46089146,2.414677817,0.355034345,0.54452232,0.692721691,0.913820219,0.682928958,0.828040015,,,,,
10,0,5,1,0,1,0,0,0,0,0,0,BxPc3,8.216562335,2.439553213,0,31.80527119,3.115639409,0.514068181,0.68292044,0.796468431,1.017532195,0.738922095,0.902104682,,,,,
15,0,5,1,0,1,0,0,0,0,0,0,BxPc3,1.771805217,1.417604232,0,23.93040459,2.770572118,0.428974983,0.666621726,0.673129067,0.940781732,0.830323037,0.806677869,,,,,
30,0,5,1,0,1,0,0,0,0,0,0,BxPc3,2.169865378,0,0.463208599,24.71015826,2.664872445,0.455759872,0.553353566,0.792012754,1.152666281,0.738942655,0.976327518,,,,,
60,0,5,1,0,1,0,0,0,0,0,0,BxPc3,3.59551615,0.467615936,0.096444707,26.04292455,2.545047578,0.43321707,0.379196956,0.758483043,1.114091181,0.601724502,1.035605313,,,,,
90,0,5,1,0,1,0,0,0,0,0,0,BxPc3,3.087739306,0.624183176,0.072645687,29.77872354,2.732458569,0.426955136,0.400121141,0.731569827,1.131953337,0.599959337,1.042153912,,,,,
120,0,5,1,0,1,0,0,0,0,0,0,BxPc3,2.897303939,0.468652138,0,32.29677701,3.177152126,0.44016281,0.402276605,0.637907557,1.124580923,0.614504639,1.070644123,,,,,
