t, obs_S1, obs_pS1, obs_S2, obs_pS2, obs_pS2_pS2, obs_ppS2
21.9064, 0.0490196, 4.95098, 0.943832, 0.911738, 0.89766, 86.9822
22.4247, 0.0490196, 4.95098, 0.94221, 0.911738, 0.894305, 87.1488
22.7425, 0.0490196, 4.95098, 0.941257, 0.911738, 0.892334, 87.2468
22.9766, 0.0490196, 4.95098, 0.940574, 0.911738, 0.89092, 87.317
23.5284, 0.0490196, 4.95098, 0.939026, 0.911738, 0.887717, 87.4761
23.5786, 0.0490196, 4.95098, 0.938889, 0.911738, 0.887435, 87.4901
24.0803, 0.0490196, 4.95098, 0.93756, 0.911738, 0.884686, 87.6266
24.4147, 0.0490196, 4.95098, 0.936711, 0.911738, 0.882929, 87.7139
24.6321, 0.0490196, 4.95098, 0.936174, 0.911738, 0.881818, 87.7691
25.1839, 0.0490196, 4.95098, 0.934862, 0.911738, 0.879104, 87.9039
25.2508, 0.0490196, 4.95098, 0.934708, 0.911738, 0.878785, 87.9197
25.7358, 0.0490196, 4.95098, 0.93362, 0.911738, 0.876535, 88.0314
26.087, 0.0490196, 4.95098, 0.932865, 0.911738, 0.874973, 88.109
26.2876, 0.0490196, 4.95098, 0.932446, 0.911738, 0.874105, 88.1521
26.8395, 0.0490196, 4.95098, 0.931334, 0.911738, 0.871805, 88.2664
26.9231, 0.0490196, 4.95098, 0.931171, 0.911738, 0.871467, 88.2831
27.3913, 0.0490196, 4.95098, 0.930282, 0.911738, 0.869628, 88.3745
27.7592, 0.0490196, 4.95098, 0.929612, 0.911738, 0.868243, 88.4433
27.9431, 0.0490196, 4.95098, 0.929286, 0.911738, 0.867569, 88.4768
28.495, 0.0490196, 4.95098, 0.928344, 0.911738, 0.86562, 88.5736
28.5953, 0.0490196, 4.95098, 0.928178, 0.911738, 0.865277, 88.5906
29.0468, 0.0490196, 4.95098, 0.927452, 0.911738, 0.863775, 88.6652
29.4314, 0.0490196, 4.95098, 0.92686, 0.911738, 0.862549, 88.7261
29.5987, 0.0490196, 4.95098, 0.926609, 0.911738, 0.86203, 88.7519
30.1505, 0.0490196, 4.95098, 0.92581, 0.911737, 0.860378, 88.8339
30.2676, 0.0490196, 4.95098, 0.925647, 0.911737, 0.86004, 88.8507
30.7023, 0.0490196, 4.95098, 0.925055, 0.911737, 0.858815, 88.9115
31.1037, 0.0490196, 4.95098, 0.924531, 0.911737, 0.857731, 88.9654
