TIME,ID,WGT,DV,TYPE,DOSE,IND,STUD,CMT,MDV,AMT,II,ADDL
6,48,27,77.5,1,75,2,29500,5,0,0,0,0
10,48,28,144,1,75,2,29500,5,0,0,0,0
13,48,28,114,1,75,2,29500,5,0,0,0,0
17,48,29,184,1,75,2,29500,5,0,0,0,0
20,48,28,142,1,75,2,29500,5,0,0,0,0
24,48,28,338,1,75,2,29500,5,0,0,0,0
26,48,28,435,1,75,2,29500,5,0,0,0,0
0,49,26,0,1,75,2,29500,1,1,5.28,0.5,39
6,49,26,84.1,1,75,2,29500,5,0,0,0,0
10,49,27,79.7,1,75,2,29500,5,0,0,0,0
13,49,28,167,1,75,2,29500,5,0,0,0,0
17,49,28,201,1,75,2,29500,5,0,0,0,0
20,49,27,373,1,75,2,29500,5,0,0,0,0
24,49,28,471,1,75,2,29500,5,0,0,0,0
26,49,28,479,1,75,2,29500,5,0,0,0,0
0,50,29,0,1,75,2,29500,1,1,5.88,0.5,39
6,50,29,96.3,1,75,2,29500,5,0,0,0,0
10,50,29,159,1,75,2,29500,5,0,0,0,0
13,50,29,173,1,75,2,29500,5,0,0,0,0
17,50,29,191,1,75,2,29500,5,0,0,0,0
20,50,28,271,1,75,2,29500,5,0,0,0,0
24,50,29,332,1,75,2,29500,5,0,0,0,0
26,50,29,540,1,75,2,29500,5,0,0,0,0
