TIME,ID,WGT,DV,TYPE,DOSE,IND,STUD,CMT,MDV,AMT,II,ADDL,p_ID_Kgrw1,p_ID_TS0,p_ID_AMT,mean_p_ID_Kgrw1,mean_p_ID_TS0,mean_p_ID_AMT
24,39,31,1650,0,0,2,29500,5,0,0,0,0,39,39,39,NaN,NaN,NaN
26,39,30,2070,0,0,2,29500,5,0,0,0,0,39,39,39,NaN,NaN,NaN
0,40,26,NaN,0,0,2,29500,1,1,0.001,0,0,40,40,40,0,0,0
6,40,26,105,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
10,40,27,233,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
13,40,27,416,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
17,40,28,669,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
20,40,28,1250,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
24,40,29,1890,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
26,40,30,2450,0,0,2,29500,5,0,0,0,0,40,40,40,NaN,NaN,NaN
0,41,30,NaN,1,75,2,29500,1,1,5.27,0.5,39,41,41,41,0,0,0
6,41,30,136,1,75,2,29500,5,0,0,0,0,41,41,41,NaN,NaN,NaN
0,42,25,NaN,1,75,2,29500,1,1,5.07,0.5,39,42,42,42,0,0,0
6,42,25,64.6,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
10,42,25,71.5,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
13,42,25,74.1,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
17,42,25,111,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
20,42,24,173,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
24,42,25,240,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
26,42,24,249,1,75,2,29500,5,0,0,0,0,42,42,42,NaN,NaN,NaN
0,44,24,NaN,1,75,2,29500,1,1,5.27,0.5,39,44,44,44,0,0,0
6,44,24,79,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
10,44,25,108,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
13,44,25,114,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
17,44,25,143,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
20,44,24,211,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
24,44,25,309,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
26,44,25,339,1,75,2,29500,5,0,0,0,0,44,44,44,NaN,NaN,NaN
0,45,26,NaN,1,75,2,29500,1,1,5.27,0.5,39,45,45,45,0,0,0
6,45,26,57.8,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
10,45,25,78.3,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
13,45,26,155,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
17,45,26,194,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
20,45,27,315,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
24,45,27,342,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
26,45,26,400,1,75,2,29500,5,0,0,0,0,45,45,45,NaN,NaN,NaN
0,46,22,NaN,1,75,2,29500,1,1,4.46,0.5,39,46,46,46,0,0,0
6,46,22,56.3,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
10,46,24,67.4,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
13,46,25,121,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
17,46,25,108,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
20,46,26,179,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
24,46,24,249,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
26,46,25,501,1,75,2,29500,5,0,0,0,0,46,46,46,NaN,NaN,NaN
0,48,27,NaN,1,75,2,29500,1,1,5.48,0.5,39,48,48,48,0,0,0
6,48,27,77.5,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
10,48,28,144,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
13,48,28,114,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
17,48,29,184,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
20,48,28,142,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
24,48,28,338,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
26,48,28,435,1,75,2,29500,5,0,0,0,0,48,48,48,NaN,NaN,NaN
0,49,26,NaN,1,75,2,29500,1,1,5.28,0.5,39,49,49,49,0,0,0
6,49,26,84.1,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
10,49,27,79.7,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
13,49,28,167,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
17,49,28,201,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
20,49,27,373,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
24,49,28,471,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
26,49,28,479,1,75,2,29500,5,0,0,0,0,49,49,49,NaN,NaN,NaN
0,50,29,NaN,1,75,2,29500,1,1,5.88,0.5,39,50,50,50,0,0,0
6,50,29,96.3,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
10,50,29,159,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
13,50,29,173,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
17,50,29,191,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
20,50,28,271,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
24,50,29,332,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
26,50,29,540,1,75,2,29500,5,0,0,0,0,50,50,50,NaN,NaN,NaN
