#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 
##CONCENTRATIONS
29 0.0377530414 0.0017568468 0.0023016087 0.0511517915 0.0841449685 0.0549977401 0.0005030387 0.0007799656 0.0009792321 1.2695409516 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0027360788 0.0035846130 0.0377530414 0.0549977401 1.3206927431 1.3536859202 1.2695409516 0.000000 0.0200000000 0.0007550608 0.0010999548 0.0000351369 0.0000460322 0.0000100608 0.0010230358 0.0016828994 0.0000195846 0.0000155993 0.0253908190 0.0305564214 0.0400328175 0.0174956592 0.0305356699 0.0400041504 0.0340524766 0.0271203359 0.0340399721 0.0271130901 0.0174865837 0.0025575896 0.0042072484 0.0634770476 0.0010999548 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
30 0.0377438033 0.0017439205 0.0022856315 0.0510124914 0.0841755047 0.0553064277 0.0005024790 0.0007726244 0.0009726255 1.2594156066 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0027165460 0.0035607349 0.0377438033 0.0553064277 1.3104280980 1.3435911113 1.2594156066 0.000000 0.0200000000 0.0007548761 0.0011061286 0.0000348784 0.0000457126 0.0000100496 0.0010202498 0.0016835101 0.0000194525 0.0000154525 0.0251883121 0.0303308556 0.0397564169 0.0174766600 0.0303109995 0.0397264516 0.0338216455 0.0268663158 0.0338103137 0.0268578956 0.0174671271 0.0025506246 0.0042087752 0.0629707803 0.0011061286 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
31 0.0377347737 0.0017291331 0.0022730181 0.0508709672 0.0842086847 0.0556118801 0.0005025970 0.0007664293 0.0009649443 1.2494881957 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0026940775 0.0035420444 0.0377347737 0.0556118801 1.3003591629 1.3336968804 1.2494881957 0.000000 0.0200000000 0.0007546955 0.0011122376 0.0000345827 0.0000454604 0.0000100519 0.0010174193 0.0016841737 0.0000192989 0.0000153286 0.0249897639 0.0300727934 0.0395382727 0.0174809397 0.0300539806 0.0395072200 0.0335551287 0.0266511493 0.0335433034 0.0266425412 0.0174712294 0.0025435484 0.0042104342 0.0624744098 0.0011122376 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
32 0.0377314953 0.0017151893 0.0022577077 0.0507187480 0.0842568215 0.0559125728 0.0005019805 0.0007590806 0.0009579102 1.2397522928 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0026730995 0.0035187687 0.0377314953 0.0559125728 1.2904710407 1.3240091143 1.2397522928 0.000000 0.0200000000 0.0007546299 0.0011182515 0.0000343038 0.0000451542 0.0000100396 0.0010143750 0.0016851364 0.0000191582 0.0000151816 0.0247950459 0.0298360329 0.0392750436 0.0174599659 0.0298116234 0.0392411094 0.0333128767 0.0263967943 0.0332987827 0.0263870861 0.0174497972 0.0025359374 0.0042128411 0.0619876146 0.0011182515 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
33 0.0377149292 0.0017011600 0.0022432697 0.0505862208 0.0842828361 0.0562120691 0.0005016323 0.0007525751 0.0009507002 1.2302214132 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0026518602 0.0034974772 0.0377149292 0.0562120691 1.2808076340 1.3145042493 1.2302214132 0.000000 0.0200000000 0.0007542986 0.0011242414 0.0000340232 0.0000448654 0.0000100326 0.0010117244 0.0016856567 0.0000190140 0.0000150515 0.0246044283 0.0295859735 0.0390202576 0.0174472772 0.0295677804 0.0389901646 0.0330583910 0.0261685148 0.0330481514 0.0261609451 0.0174376959 0.0025293110 0.0042141418 0.0615110707 0.0011242414 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
34 0.0377038100 0.0016886951 0.0022320411 0.0504384145 0.0843296469 0.0565067893 0.0005018559 0.0007467820 0.0009444920 1.2208633591 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0026331870 0.0034806791 0.0377038100 0.0565067893 1.2713017736 1.3051930060 1.2208633591 0.000000 0.0200000000 0.0007540762 0.0011301358 0.0000337739 0.0000446408 0.0000100371 0.0010087683 0.0016865929 0.0000188898 0.0000149356 0.0244172672 0.0293689812 0.0388213968 0.0174545158 0.0293511283 0.0387949999 0.0328438402 0.0259667353 0.0328323395 0.0259595664 0.0174454675 0.0025219207 0.0042164823 0.0610431680 0.0011301358 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
35 0.0377087291 0.0016756258 0.0022174438 0.0503017807 0.0843607656 0.0568050070 0.0005012493 0.0007398905 0.0009375577 1.2116793049 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0026131835 0.0034585836 0.0377087291 0.0568050070 1.2619810856 1.2960400705 1.2116793049 0.000000 0.0200000000 0.0007541746 0.0011361001 0.0000335125 0.0000443489 0.0000100250 0.0010060356 0.0016872153 0.0000187512 0.0000147978 0.0242335861 0.0291496770 0.0385799903 0.0174352465 0.0291239724 0.0385412852 0.0326063636 0.0257320023 0.0325912919 0.0257200014 0.0174243821 0.0025150890 0.0042180383 0.0605839652 0.0011361001 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
36 0.0376898270 0.0016607010 0.0022027191 0.0501640981 0.0843973684 0.0570926698 0.0005006381 0.0007333271 0.0009300329 1.2027062181 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025907339 0.0034366844 0.0376898270 0.0570926698 1.2528703163 1.2871035866 1.2027062181 0.000000 0.0200000000 0.0007537965 0.0011418534 0.0000332140 0.0000440544 0.0000100128 0.0010032820 0.0016879474 0.0000186007 0.0000146665 0.0240541244 0.0288847684 0.0383164913 0.0174125828 0.0288645653 0.0382853564 0.0323402710 0.0254990853 0.0323297140 0.0254918467 0.0174031354 0.0025082049 0.0042198684 0.0601353109 0.0011418534 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
37 0.0376675912 0.0016509334 0.0021933236 0.0500250654 0.0844400545 0.0573783085 0.0005011685 0.0007284491 0.0009253742 1.1938928136 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025763077 0.0034229412 0.0376675912 0.0573783085 1.2439178790 1.2783328681 1.1938928136 0.000000 0.0200000000 0.0007533518 0.0011475662 0.0000330187 0.0000438665 0.0000100234 0.0010005013 0.0016888011 0.0000185075 0.0000145690 0.0238778563 0.0287069806 0.0381407499 0.0174297186 0.0286947953 0.0381220531 0.0321764536 0.0253267258 0.0321677713 0.0253222784 0.0174215714 0.0025012533 0.0042220027 0.0596946407 0.0011475662 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
38 0.0376841312 0.0016388137 0.0021811772 0.0498924462 0.0844681310 0.0576726553 0.0005008954 0.0007223516 0.0009186976 1.1852210322 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025575113 0.0034044242 0.0376841312 0.0576726553 1.2351134785 1.2696891632 1.1852210322 0.000000 0.0200000000 0.0007536826 0.0011534531 0.0000327763 0.0000436235 0.0000100179 0.0009978489 0.0016893626 0.0000183740 0.0000144470 0.0237044206 0.0285100515 0.0379510783 0.0174243592 0.0284841427 0.0379109375 0.0319523190 0.0251229373 0.0319356775 0.0251103180 0.0174120778 0.0024946223 0.0042234065 0.0592610516 0.0011534531 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
39 0.0376781590 0.0016243315 0.0021658851 0.0497547596 0.0845072226 0.0579540615 0.0004999426 0.0007154639 0.0009112471 1.1767548737 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025355786 0.0033812915 0.0376781590 0.0579540615 1.2265096333 1.2612620963 1.1767548737 0.000000 0.0200000000 0.0007535632 0.0011590812 0.0000324866 0.0000433177 0.00000999885 0.0009950952 0.0016901445 0.0000182249 0.0000143093 0.0235350975 0.0282610756 0.0376872313 0.0173904048 0.0282324286 0.0376451449 0.0316929631 0.0248833699 0.0316766835 0.0248708874 0.0173789576 0.0024877380 0.0042253611 0.0588377437 0.0011590812 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
40 0.0376555193 0.0016120449 0.0021529114 0.0496234469 0.0845429771 0.0582307681 0.0004995513 0.0007096528 0.0009051871 1.1684645344 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025172320 0.0033621155 0.0376555193 0.0582307681 1.2180879813 1.2530075116 1.1684645344 0.000000 0.0200000000 0.0007531104 0.0011646154 0.0000322409 0.0000430582 0.00000999103 0.0009924689 0.0016908595 0.0000181037 0.0000141931 0.0233692907 0.0280397295 0.0374509823 0.0173743412 0.0280188759 0.0374196497 0.0314769555 0.0246769512 0.0314660261 0.0246688846 0.0173653554 0.0024811723 0.0042271489 0.0584232267 0.0011646154 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
41 0.0376372007 0.0016015104 0.0021430585 0.0494929259 0.0845790642 0.0585067626 0.0004997882 0.0007048206 0.0008999751 1.1603238981 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0025014855 0.0033476673 0.0376372007 0.0585067626 1.2098168239 1.2449029623 1.1603238981 0.000000 0.0200000000 0.0007527440 0.0011701353 0.0000320302 0.0000428612 0.00000999576 0.0009898585 0.0016915813 0.0000179995 0.0000140964 0.0232064780 0.0278507725 0.0372719016 0.0173816723 0.0278357768 0.0372483985 0.0312934043 0.0245062787 0.0312848472 0.0245009060 0.0173735903 0.0024746463 0.0042289532 0.0580161949 0.0011701353 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
42 0.0376337280 0.0015913260 0.0021330787 0.0493617531 0.0846152095 0.0587835201 0.0004998835 0.0006997464 0.0008947322 1.1523269987 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024860583 0.0033327086 0.0376337280 0.0587835201 1.2016887518 1.2369422082 1.1523269987 0.000000 0.0200000000 0.0007526746 0.0011756704 0.0000318265 0.0000426616 0.00000999767 0.0009872351 0.0016923042 0.0000178946 0.0000139949 0.0230465400 0.0276764567 0.0371019315 0.0173858577 0.0276587623 0.0370749392 0.0311137017 0.0243321148 0.0311025967 0.0243245181 0.0173769012 0.0024680877 0.0042307605 0.0576163499 0.0011756704 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
43 0.0376349799 0.0015798082 0.0021211543 0.0492340221 0.0846469163 0.0590585009 0.0004994542 0.0006940895 0.0008886501 1.1444887937 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024684583 0.0033146979 0.0376349799 0.0590585009 1.1937228158 1.2291357100 1.1444887937 0.000000 0.0200000000 0.0007526996 0.0011811700 0.0000315962 0.0000424231 0.00000998908 0.0009846804 0.0016929383 0.0000177730 0.0000138818 0.0228897759 0.0274814362 0.0369026527 0.0173727900 0.0274585718 0.0368676815 0.0309050096 0.0241379964 0.0308911692 0.0241278725 0.0173619783 0.0024617011 0.0042323458 0.0572244397 0.0011811700 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
44 0.0376268926 0.0015678712 0.0021088662 0.0491055957 0.0846823004 0.0593271312 0.0004989381 0.0006884321 0.0008825220 1.1368165563 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024503932 0.0032962363 0.0376268926 0.0593271312 1.1859221520 1.2214988568 1.1368165563 0.000000 0.0200000000 0.0007525379 0.0011865426 0.0000313574 0.0000421773 0.00000997876 0.0009821119 0.0016936460 0.0000176504 0.0000137686 0.0227363311 0.0272744548 0.0366892331 0.0173546110 0.0272510955 0.0366541026 0.0306916598 0.0239409438 0.0306781452 0.0239312106 0.0173440370 0.0024552798 0.0042341150 0.0568408278 0.0011865426 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
45 0.0376124735 0.0015571014 0.0020978051 0.0489797733 0.0847172885 0.0595920327 0.0004986992 0.0006832883 0.0008771132 1.1292975942 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024342146 0.0032797926 0.0376124735 0.0595920327 1.1782773675 1.2140148827 1.1292975942 0.000000 0.0200000000 0.0007522495 0.0011918407 0.0000311420 0.0000419561 0.00000997398 0.0009795955 0.0016943458 0.0000175423 0.0000136658 0.0225859519 0.0270839932 0.0364922145 0.0173451388 0.0270639052 0.0364618507 0.0305016163 0.0237604740 0.0304901256 0.0237524024 0.0173357350 0.0024489887 0.0042358644 0.0564648797 0.0011918407 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
46 0.0376018077 0.0015470739 0.0020879560 0.0488558751 0.0847508089 0.0598557853 0.0004986806 0.0006785313 0.0008720233 1.1219190612 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024190972 0.0032651679 0.0376018077 0.0598557853 1.1707749362 1.2066698700 1.1219190612 0.000000 0.0200000000 0.0007520362 0.0011971157 0.0000309415 0.0000417591 0.00000997361 0.0009771175 0.0016950162 0.0000174405 0.0000135706 0.0224383812 0.0269081593 0.0363191925 0.0173442230 0.0268896181 0.0362906633 0.0303241839 0.0235946892 0.0303131916 0.0235870407 0.0173350887 0.0024427938 0.0042375404 0.0560959531 0.0011971157 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
47 0.0375992340 0.0015370480 0.0020779167 0.0487319460 0.0847844557 0.0601184952 0.0004985234 0.0006736344 0.0008668187 1.1146774370 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0024038667 0.0032500745 0.0375992340 0.0601184952 1.1634093830 1.1994618927 1.1146774370 0.000000 0.0200000000 0.0007519847 0.0012023699 0.0000307410 0.0000415583 0.00000997047 0.0009746389 0.0016956891 0.0000173364 0.0000134727 0.0222935487 0.0267369159 0.0361488304 0.0173398210 0.0267153582 0.0361161711 0.0301452267 0.0234260471 0.0301322675 0.0234168137 0.0173296237 0.0024365973 0.0042392228 0.0557338718 0.0012023699 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
48 0.0375893002 0.0015262500 0.0020666168 0.0486103154 0.0848174488 0.0603759163 0.0004980635 0.0006684788 0.0008612969 1.1075903592 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023875469 0.0032331590 0.0375893002 0.0603759163 1.1562006746 1.1924078079 1.1075903592 0.000000 0.0200000000 0.0007517860 0.0012075183 0.0000305250 0.0000413323 0.00000996127 0.0009722063 0.0016963490 0.0000172259 0.0000133696 0.0221518072 0.0265483846 0.0359511878 0.0173234343 0.0265276788 0.0359197676 0.0299522236 0.0232459579 0.0299403221 0.0232375954 0.0173136347 0.0024305158 0.0042408724 0.0553795180 0.0012075183 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
49 0.0375793318 0.0015169209 0.0020575241 0.0484900501 0.0848507172 0.0606312727 0.0004980904 0.0006640410 0.0008565616 1.1006359190 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023734825 0.0032196555 0.0375793318 0.0606312727 1.1491259691 1.1854866362 1.1006359190 0.000000 0.0200000000 0.0007515866 0.0012126255 0.0000303384 0.0000411505 0.00000996181 0.0009698010 0.0016970143 0.0000171312 0.0000132808 0.0220127184 0.0263849962 0.0357915410 0.0173240442 0.0263655306 0.0357617279 0.0297874622 0.0230915976 0.0297757130 0.0230833314 0.0173145703 0.0024245025 0.0042425359 0.0550317959 0.0012126255 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
50 0.0375754379 0.0015068530 0.0020471214 0.0483703785 0.0848832567 0.0608848450 0.0004977243 0.0006591551 0.0008513412 1.0938158154 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023581943 0.0032040007 0.0375754379 0.0608848450 1.1421861939 1.1786990721 1.0938158154 0.000000 0.0200000000 0.0007515088 0.0012176969 0.0000301371 0.0000409424 0.00000995449 0.0009674076 0.0016976651 0.0000170268 0.0000131831 0.0218763163 0.0262123266 0.0356138232 0.0173119109 0.0261905408 0.0355809190 0.0296069423 0.0229226085 0.0295942429 0.0229134867 0.0173018438 0.0024185189 0.0042441628 0.0546907908 0.0012176969 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
51 0.0375633703 0.0014973996 0.0020375621 0.0482531702 0.0849157006 0.0611336745 0.0004975588 0.0006546728 0.0008465573 1.0871362030 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023439569 0.0031897937 0.0375633703 0.0611336745 1.1353893733 1.1720519036 1.0871362030 0.000000 0.0200000000 0.0007512674 0.0012226735 0.0000299480 0.0000407512 0.00000995118 0.0009650634 0.0016983140 0.0000169311 0.0000130935 0.0217427241 0.0260457049 0.0354445194 0.0173055854 0.0260262312 0.0354147701 0.0294394413 0.0227656679 0.0294279444 0.0227576738 0.0172960918 0.0024126585 0.0042457850 0.0543568102 0.0012226735 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
52 0.0375585352 0.0014882004 0.0020283715 0.0481365712 0.0849475912 0.0613817278 0.0004974106 0.0006502418 0.0008418043 1.0805791748 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023300047 0.0031760240 0.0375585352 0.0613817278 1.1287157460 1.1655267660 1.0805791748 0.000000 0.0200000000 0.0007511707 0.0012276346 0.0000297640 0.0000405674 0.00000994821 0.0009627314 0.0016989518 0.0000168361 0.0000130048 0.0216115835 0.0258873369 0.0352869696 0.0173007958 0.0258663401 0.0352550292 0.0292751954 0.0226126194 0.0292627199 0.0226036447 0.0172909411 0.0024068286 0.0042473796 0.0540289587 0.0012276346 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
53 0.0375496916 0.0014787770 0.0020186474 0.0480214251 0.0849796378 0.0616254614 0.0004971040 0.0006457287 0.0008369879 1.0741571756 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023157649 0.0031614801 0.0375496916 0.0616254614 1.1221786006 1.1591368133 1.0741571756 0.000000 0.0200000000 0.0007509938 0.0012325092 0.0000295755 0.0000403729 0.00000994208 0.0009604285 0.0016995928 0.0000167398 0.0000129146 0.0214831435 0.0257230693 0.0351171099 0.0172899538 0.0257025525 0.0350860138 0.0291072578 0.0224552266 0.0290952950 0.0224467607 0.0172802820 0.0024010713 0.0042489819 0.0537078588 0.0012325092 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
54 0.0375424123 0.0014700911 0.0020099889 0.0479081441 0.0850106596 0.0618674025 0.0004970131 0.0006415657 0.0008325331 1.0678565625 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023026243 0.0031485676 0.0375424123 0.0618674025 1.1157647066 1.1528672221 1.0678565625 0.000000 0.0200000000 0.0007508482 0.0012373481 0.0000294018 0.0000401998 0.00000994026 0.0009581629 0.0017002132 0.0000166507 0.0000128313 0.0213571313 0.0255721469 0.0349669010 0.0172869393 0.0255515842 0.0349355206 0.0289526557 0.0223107577 0.0289404368 0.0223020457 0.0172771218 0.0023954072 0.0042505330 0.0533928281 0.0012373481 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
55 0.0375343114 0.0014610255 0.0020007314 0.0477955920 0.0850421553 0.0621056970 0.0004967367 0.0006372495 0.0008278883 1.0616829813 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022889138 0.0031347176 0.0375343114 0.0621056970 1.1094785733 1.1467251366 1.0616829813 0.000000 0.0200000000 0.0007506862 0.0012421139 0.0000292205 0.0000400146 0.00000993473 0.0009559118 0.0017008431 0.0000165578 0.0000127450 0.0212336596 0.0254143978 0.0348055748 0.0172771877 0.0253940141 0.0347746173 0.0287909260 0.0221604312 0.0287789739 0.0221520060 0.0172675129 0.0023897796 0.0042521078 0.0530841491 0.0012421139 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
56 0.0375278801 0.0014525755 0.0019921979 0.0476846300 0.0850729437 0.0623420303 0.0004965922 0.0006331710 0.0008235469 1.0556265578 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022761225 0.0031219611 0.0375278801 0.0623420303 1.1033111877 1.1406995014 1.0556265578 0.000000 0.0200000000 0.0007505576 0.0012468406 0.0000290515 0.0000398440 0.00000993184 0.0009536926 0.0017014589 0.0000164709 0.0000126634 0.0211125312 0.0252680426 0.0346579968 0.0172723576 0.0252471464 0.0346262970 0.0286403970 0.0220190129 0.0286280601 0.0220102300 0.0172624896 0.0023842315 0.0042536472 0.0527813279 0.0012468406 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
57 0.0375194192 0.0014440918 0.0019835826 0.0475753153 0.0851033251 0.0625748825 0.0004963996 0.0006291241 0.0008192070 1.0496918122 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022632988 0.0031091062 0.0375194192 0.0625748825 1.0972671276 1.1347951374 1.0496918122 0.000000 0.0200000000 0.0007503884 0.0012514976 0.0000288818 0.0000396717 0.00000992799 0.0009515063 0.0017020665 0.0000163841 0.0000125825 0.0209938362 0.0251200180 0.0345075090 0.0172654857 0.0250996906 0.0344765540 0.0284892078 0.0218780788 0.0284771972 0.0218695521 0.0172557953 0.0023787658 0.0042551663 0.0524845906 0.0012514976 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
58 0.0375124123 0.0014357472 0.0019751297 0.0474671143 0.0851334413 0.0628053064 0.0004962005 0.0006251396 0.0008149195 1.0438718447 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022506666 0.0030964698 0.0375124123 0.0628053064 1.0913389590 1.1290052860 1.0438718447 0.000000 0.0200000000 0.0007502482 0.0012561061 0.0000287149 0.0000395026 0.00000992401 0.0009493423 0.0017026688 0.0000162984 0.0000125028 0.0208774369 0.0249751501 0.0343608411 0.0172586327 0.0249546530 0.0343296358 0.0283402259 0.0217396039 0.0283281533 0.0217310448 0.0172488730 0.0023733557 0.0042566721 0.0521935922 0.0012561061 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
59 0.0375052757 0.0014276282 0.0019669150 0.0473601776 0.0851634264 0.0630328947 0.0004960244 0.0006212563 0.0008107540 1.0381655240 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022383822 0.0030841957 0.0375052757 0.0630328947 1.0855257016 1.1233289504 1.0381655240 0.000000 0.0200000000 0.0007501055 0.0012606579 0.0000285526 0.0000393383 0.00000992049 0.0009472036 0.0017032685 0.0000162151 0.0000124251 0.0207633105 0.0248341066 0.0342181267 0.0172525134 0.0248135381 0.0341868565 0.0281954681 0.0216046480 0.0281833518 0.0215960514 0.0172427528 0.0023680089 0.0042581713 0.0519082762 0.0012606579 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
60 0.0374979920 0.0014196714 0.0019588439 0.0472546519 0.0851930549 0.0632576536 0.0004958478 0.0006174478 0.0008066733 1.0325711739 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022263447 0.0030721395 0.0374979920 0.0632576536 1.0798258258 1.1177642288 1.0325711739 0.000000 0.0200000000 0.0007499598 0.0012651531 0.0000283934 0.0000391769 0.00000991696 0.0009450930 0.0017038611 0.0000161335 0.0000123490 0.0206514235 0.0246957578 0.0340777477 0.0172463504 0.0246752414 0.0340465717 0.0280535962 0.0214722445 0.0280414995 0.0214636617 0.0172366153 0.0023627326 0.0042596527 0.0516285587 0.0012651531 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
