#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 
##CONCENTRATIONS
10 0.0380926715 0.0020716533 0.0026687249 0.0526684023 0.0853256661 0.0480380927 0.0005030768 0.0009195651 0.0011679699 1.5054028132 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0032396232 0.0040913668 0.0380926715 0.0480380927 1.5580712155 1.5907284793 1.5054028132 0.000000 0.0200000000 0.0007618534 0.0009607619 0.0000414331 0.0000533745 0.0000100615 0.0010533680 0.0017065133 0.0000233594 0.0000183913 0.0301080563 0.0365054637 0.0461032758 0.0174420434 0.0360073077 0.0463849812 0.0408852003 0.0318720869 0.0406008570 0.0319658331 0.0174879062 0.0026334201 0.0042662833 0.0752701407 0.0009607619 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
11 0.0379465251 0.0021355320 0.0025489519 0.0552310370 0.0819873023 0.0491075672 0.0004963396 0.0009303154 0.0011508563 1.4907334301 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0032863883 0.0039756070 0.0379465251 0.0491075672 1.5459644672 1.5727207325 1.4907334301 0.000000 0.0200000000 0.0007589305 0.0009821513 0.0000427106 0.0000509790 0.00000992679 0.0011046207 0.0016397460 0.0000230171 0.0000186063 0.0298146686 0.0368903546 0.0446269694 0.0173258702 0.0371175799 0.0443032111 0.0398526696 0.0324772003 0.0400059577 0.0323395370 0.0172537114 0.0027615519 0.0040993651 0.0745366715 0.0009821513 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
12 0.0379510753 0.0019735346 0.0026675045 0.0532751600 0.0841431455 0.0491371036 0.0005176733 0.0009365009 0.0010952506 1.4762690471 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0030687852 0.0041216786 0.0379510753 0.0491371036 1.5295442071 1.5604121926 1.4762690471 0.000000 0.0200000000 0.0007590215 0.0009827421 0.0000394707 0.0000533501 0.0000103535 0.0010655032 0.0016828629 0.0000219050 0.0000187300 0.0295253809 0.0344518479 0.0462722001 0.0179732606 0.0343019112 0.0463637681 0.0381924205 0.0324781162 0.0380729975 0.0325545534 0.0179953095 0.0026637580 0.0042071573 0.0738134524 0.0009827421 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
13 0.0378944825 0.0020977622 0.0025137569 0.0538690979 0.0833068120 0.0497065744 0.0004945026 0.0008928177 0.0011538366 1.4620176865 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0032515989 0.0039010773 0.0378944825 0.0497065744 1.5158867844 1.5453244984 1.4620176865 0.000000 0.0200000000 0.0007578896 0.0009941315 0.0000419552 0.0000502751 0.00000989005 0.0010773820 0.0016661362 0.0000230767 0.0000178564 0.0292403537 0.0364497779 0.0437303014 0.0172084431 0.0364611057 0.0436914885 0.0400653947 0.0310825183 0.0401095595 0.0310360455 0.0171898535 0.0026934549 0.0041653406 0.0731008843 0.0009941315 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
14 0.0378880174 0.0019675735 0.0026001086 0.0536476653 0.0833410120 0.0500748025 0.0005158979 0.0009219588 0.0010807616 1.4481684542 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0030483351 0.0040379652 0.0378880174 0.0500748025 1.5018161195 1.5315094662 1.4481684542 0.000000 0.0200000000 0.0007577603 0.0010014960 0.0000393515 0.0000520022 0.0000103180 0.0010729533 0.0016668202 0.0000216152 0.0000184392 0.0289633691 0.0341654013 0.0452570656 0.0179442376 0.0341983011 0.0451923632 0.0375762487 0.0320409469 0.0375693323 0.0320490430 0.0179335924 0.0026823833 0.0041670506 0.0724084227 0.0010014960 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
15 0.0378881124 0.0020152729 0.0025183122 0.0530781922 0.0839264331 0.0503479862 0.0005014909 0.0008811094 0.0011178564 1.4344624996 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0031331293 0.0039009126 0.0378881124 0.0503479862 1.4875406918 1.5183889327 1.4344624996 0.000000 0.0200000000 0.0007577622 0.0010069597 0.0000403055 0.0000503662 0.0000100298 0.0010615638 0.0016785287 0.0000223571 0.0000176222 0.0286892500 0.0351158531 0.0437211047 0.0174297644 0.0350273620 0.0437706650 0.0388927834 0.0306248722 0.0388588175 0.0306290420 0.0174327794 0.0026539096 0.0041963217 0.0717231250 0.0010069597 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
16 0.0378649510 0.0019702564 0.0025221353 0.0534711589 0.0832497602 0.0508316125 0.0005083491 0.0008916156 0.0010819490 1.4211431950 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0030522054 0.0039220999 0.0378649510 0.0508316125 1.4746143539 1.5043929552 1.4211431950 0.000000 0.0200000000 0.0007572990 0.0010166323 0.0000394051 0.0000504427 0.0000101670 0.0010694232 0.0016649952 0.0000216390 0.0000178323 0.0284228639 0.0341879533 0.0439316984 0.0176927661 0.0342449333 0.0438371128 0.0375827624 0.0310191717 0.0376106085 0.0309942558 0.0176711829 0.0026735579 0.0041624880 0.0710571597 0.0010166323 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
17 0.0378722351 0.0019471013 0.0025081136 0.0527833025 0.0839448280 0.0510572454 0.0005069606 0.0008737908 0.0010799868 1.4080205591 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0030270881 0.0038888650 0.0378722351 0.0510572454 1.4608038616 1.4919653871 1.4080205591 0.000000 0.0200000000 0.0007574447 0.0010211449 0.0000389420 0.0000501623 0.0000101392 0.0010556661 0.0016788966 0.0000215997 0.0000174758 0.0281604112 0.0339131348 0.0435678114 0.0176207116 0.0338424754 0.0435934028 0.0375846879 0.0303606714 0.0375423971 0.0303746338 0.0176229154 0.0026391651 0.0041972414 0.0704010280 0.0010211449 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
18 0.0378500484 0.0019496503 0.0024691020 0.0529873776 0.0835377894 0.0514840819 0.0005039622 0.0008645990 0.0010757194 1.3951871795 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0030253697 0.0038376632 0.0378500484 0.0514840819 1.4481745571 1.4787249689 1.3951871795 0.000000 0.0200000000 0.0007570010 0.0010296816 0.0000389930 0.0000493820 0.0000100792 0.0010597476 0.0016707558 0.0000215144 0.0000172920 0.0279037436 0.0338740278 0.0429689987 0.0175340815 0.0338867796 0.0429153435 0.0373812124 0.0300767721 0.0373940559 0.0300551071 0.0175186874 0.0026493689 0.0041768895 0.0697593590 0.0010296816 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
19 0.0378472570 0.0019064408 0.0024752245 0.0526451430 0.0837908032 0.0517785345 0.0005080183 0.0008612214 0.0010553726 1.3826080532 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0029618134 0.0038444642 0.0378472570 0.0517785345 1.4352531961 1.4663988563 1.3826080532 0.000000 0.0200000000 0.0007569451 0.0010355707 0.0000381288 0.0000495045 0.0000101604 0.0010529029 0.0016758161 0.0000211075 0.0000172244 0.0276521611 0.0331599633 0.0430419733 0.0176656155 0.0331357560 0.0430217588 0.0367067546 0.0299354698 0.0366867627 0.0299376965 0.0176596851 0.0026322571 0.0041895402 0.0691304027 0.0010355707 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
20 0.0378357625 0.0019099230 0.0024375690 0.0525081766 0.0838170722 0.0521169960 0.0005036364 0.0008458329 0.0010582922 1.3702555648 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0029682152 0.0037870383 0.0378357625 0.0521169960 1.4227637415 1.4540726371 1.3702555648 0.000000 0.0200000000 0.0007567152 0.0010423399 0.0000381985 0.0000487514 0.0000100727 0.0010501635 0.0016763414 0.0000211658 0.0000169167 0.0274051113 0.0332215444 0.0423861649 0.0175154889 0.0331962804 0.0423672703 0.0367976275 0.0294115949 0.0367882541 0.0294027629 0.0175073600 0.0026254088 0.0041908536 0.0685127782 0.0010423399 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
21 0.0378248941 0.0018798969 0.0024320891 0.0524284288 0.0837505461 0.0524660976 0.0005062030 0.0008433399 0.0010405722 1.3581708390 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0029204691 0.0037816320 0.0378248941 0.0524660976 1.4105992677 1.4419213850 1.3581708390 0.000000 0.0200000000 0.0007564979 0.0010493220 0.0000375979 0.0000486418 0.0000101241 0.0010485686 0.0016750109 0.0000208114 0.0000168668 0.0271634168 0.0326777597 0.0423134975 0.0176076429 0.0326743986 0.0422720256 0.0361769714 0.0293250020 0.0361722713 0.0293161011 0.0175965788 0.0026214214 0.0041875273 0.0679085419 0.0010493220 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
22 0.0378192334 0.0018671995 0.0024112498 0.0521564924 0.0839395783 0.0527656773 0.0005046261 0.0008315353 0.0010365859 1.3463013544 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0029037854 0.0037474112 0.0378192334 0.0527656773 1.3984578469 1.4302409328 1.3463013544 0.000000 0.0200000000 0.0007563847 0.0010553135 0.0000373440 0.0000482250 0.0000100925 0.0010431298 0.0016787916 0.0000207317 0.0000166307 0.0269260271 0.0324862194 0.0419243188 0.0175479369 0.0324537048 0.0419098173 0.0360514917 0.0289089072 0.0360337006 0.0289057514 0.0175417661 0.0026078246 0.0041969789 0.0673150677 0.0010553135 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
23 0.0378064270 0.0018526968 0.0023923321 0.0521056561 0.0838487634 0.0531156002 0.0005042985 0.0008247150 0.0010274039 1.3346781266 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0028801006 0.0037213456 0.0378064270 0.0531156002 1.3867837826 1.4185268900 1.3346781266 0.000000 0.0200000000 0.0007561285 0.0010623120 0.0000370539 0.0000478466 0.0000100860 0.0010421131 0.0016769753 0.0000205481 0.0000164943 0.0266935625 0.0322103348 0.0416186107 0.0175414420 0.0322016346 0.0415810105 0.0357187515 0.0286798461 0.0357145152 0.0286686631 0.0175303768 0.0026052828 0.0041924382 0.0667339063 0.0010623120 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
24 0.0377996002 0.0018311885 0.0023809297 0.0518860021 0.0839684167 0.0534216510 0.0005048175 0.0008174076 0.0010172741 1.3232784893 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0028484625 0.0037031548 0.0377996002 0.0534216510 1.3751644914 1.4072469060 1.3232784893 0.000000 0.0200000000 0.0007559920 0.0010684330 0.0000366238 0.0000476186 0.0000100964 0.0010377200 0.0016793683 0.0000203455 0.0000163482 0.0264655698 0.0318507497 0.0414076905 0.0175562745 0.0318277996 0.0413828251 0.0353767898 0.0284193418 0.0353623843 0.0284146435 0.0175484193 0.0025943001 0.0041984208 0.0661639245 0.0010684330 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
25 0.0377892766 0.0018207086 0.0023596184 0.0517560628 0.0839828659 0.0537466365 0.0005034869 0.0008082422 0.0010119262 1.3120994792 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0028326348 0.0036713475 0.0377892766 0.0537466365 1.3638555420 1.3960823451 1.3120994792 0.000000 0.0200000000 0.0007557855 0.0010749327 0.0000364142 0.0000471924 0.0000100697 0.0010351213 0.0016796573 0.0000202385 0.0000161648 0.0262419896 0.0316651181 0.0410408187 0.0175113643 0.0316456500 0.0410124154 0.0351862698 0.0281046818 0.0351764829 0.0280960392 0.0175021634 0.0025878031 0.0041991433 0.0656049740 0.0010749327 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
26 0.0377799067 0.0018011874 0.0023474733 0.0516157851 0.0840054625 0.0540663636 0.0005040402 0.0008022021 0.0010014831 1.3011452847 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0028026705 0.0036537156 0.0377799067 0.0540663636 1.3527610697 1.3851507472 1.3011452847 0.000000 0.0200000000 0.0007555981 0.0010813273 0.0000360237 0.0000469495 0.0000100808 0.0010323157 0.0016801093 0.0000200297 0.0000160440 0.0260229057 0.0313223880 0.0408335902 0.0175309358 0.0313063522 0.0408013223 0.0348234276 0.0278938991 0.0348134608 0.0278860722 0.0175213984 0.0025807893 0.0042002731 0.0650572642 0.0010813273 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
27 0.0377712130 0.0017875553 0.0023305209 0.0514385457 0.0840804353 0.0543738351 0.0005033108 0.0007937589 0.0009951506 1.2903997834 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0027827059 0.0036275905 0.0377712130 0.0543738351 1.3418383290 1.3744802187 1.2903997834 0.000000 0.0200000000 0.0007554243 0.0010874767 0.0000357511 0.0000466104 0.0000100662 0.0010287709 0.0016816087 0.0000199030 0.0000158752 0.0258079957 0.0310921093 0.0405322889 0.0175045689 0.0310694136 0.0405066721 0.0346062236 0.0275993519 0.0345933312 0.0275925711 0.0174960407 0.0025719273 0.0042040218 0.0645199892 0.0010874767 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
28 0.0377611643 0.0017728411 0.0023151696 0.0513182317 0.0840831248 0.0546929885 0.0005031064 0.0007869625 0.0009871534 1.2798680836 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0027599945 0.0036052385 0.0377611643 0.0546929885 1.3311863153 1.3639512084 1.2798680836 0.000000 0.0200000000 0.0007552233 0.0010938598 0.0000354568 0.0000463034 0.0000100621 0.0010263646 0.0016816625 0.0000197431 0.0000157393 0.0255973617 0.0308301424 0.0402718258 0.0174988236 0.0308136659 0.0402398532 0.0343248780 0.0273651373 0.0343153338 0.0273563160 0.0174889360 0.0025659116 0.0042041562 0.0639934042 0.0010938598 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
