#t IFNb_mRNA IFNb_env STATP2n SOCS1m IRF7m IRF7Pn IFNa_mRNA IFNa_env TNFam TNFenv STATm STAT NS IC1 IC2 IC2ifa TJ J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 default c2 compartment w r5 n3 bm sp delta1 n1 sv delta2 n2 TJtot K3 K9 delta r0 k15 tao1 C vmax2 NA K2 K5 tao3 r3 k8 tao4 k11 k14 tao6 k12 k16 tao8 vmax17 K17 r1 rmax20 K20 tao9 vmax19 K19 r4 k26 tao12 k28 tao13 
##CONCENTRATIONS
20 0.0013286570 0.0005088608 0.0000000340084 0.0000000242225 0.000000 0.0000000206941 0.0000000158987 0.00000000260833 0.0006843897 0.0001981399 0.00000526625 0.0694389745 0.9975758906 0.3637769111 1.0000000000 1.0000000000 0.00000995484 -0.000005 0.0000238580 0.00000000141415 0.000000 0.000000 0.00000000217193 0.00000000193982 0.000000 0.0000474383 0.0000187749 -0.000000 -0.001313 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
21 0.0013246260 0.0005327036 0.0000000354064 0.0000000242233 0.000000 0.0000000229144 0.0000000178931 0.00000000311300 0.0007324137 0.0002174718 0.00000526574 0.0681564025 0.9980996496 0.3637464915 1.0000000000 1.0000000000 0.0000103698 -0.000004 0.0000238144 0.00000000139051 0.000000 0.000000 0.00000000226959 0.00000000204791 0.000000 0.0000485691 0.0000198885 0.000000 -0.001254 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
22 0.0013215248 0.0005565051 0.0000000367828 0.0000000242248 0.000000 0.0000000252317 0.0000000199943 0.00000000367888 0.0007814589 0.0002379179 0.00000526578 0.0669314395 0.9984934343 0.3637236399 1.0000000000 1.0000000000 0.0000107801 -0.000003 0.0000237809 0.00000000136560 0.000000 0.000000 0.00000000236554 0.00000000215391 0.000000 0.0000494788 0.0000210026 0.000000 -0.001197 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
23 0.0013191433 0.0005802762 0.0000000381366 0.0000000242266 0.000000 0.0000000276443 0.0000000222005 0.00000000430913 0.0008313027 0.0002594762 0.00000526606 0.0657617590 0.9987933184 0.3637062483 1.0000000000 1.0000000000 0.0000111857 -0.000002 0.0000237550 0.00000000134236 0.000000 0.000000 0.00000000245991 0.00000000225785 0.000000 0.0000501635 0.0000221117 0.000000 -0.001143 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
24 0.0013173191 0.0006040226 0.0000000394690 0.0000000242288 0.000000 0.0000000301506 0.0000000245094 0.00000000500685 0.0008817209 0.0002821390 0.00000526659 0.0646448626 0.9990243902 0.3636928540 1.0000000000 1.0000000000 0.0000115870 -0.000002 0.0000237352 0.00000000132057 0.000000 0.000000 0.00000000255276 0.00000000235991 0.000000 0.0000506232 0.0000232106 0.000000 -0.001091 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
25 0.0013159396 0.0006277505 0.0000000407802 0.0000000242312 0.000000 0.0000000327492 0.0000000269195 0.00000000577509 0.0009324877 0.0003058934 0.00000526719 0.0635785273 0.9992043711 0.3636824251 1.0000000000 1.0000000000 0.0000119842 -0.000001 0.0000237202 0.00000000130082 0.000000 0.000000 0.00000000264414 0.00000000246011 0.000000 0.0000508630 0.0000242943 0.000000 -0.001042 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
26 0.0013148874 0.0006514648 0.0000000420720 0.0000000242337 0.000000 0.0000000354384 0.0000000294289 0.00000000661684 0.0009833900 0.0003307226 0.00000526781 0.0625605053 0.9993459584 0.3636742233 1.0000000000 1.0000000000 0.0000123773 -0.000001 0.0000237088 0.00000000128227 0.000000 0.000000 0.00000000273411 0.00000000255856 0.000000 0.0000508900 0.0000253588 0.000000 -0.000994 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
27 0.0013140970 0.0006751691 0.0000000433452 0.0000000242363 0.000000 0.0000000382170 0.0000000320359 0.00000000753504 0.0010342163 0.0003566049 0.00000526837 0.0615886954 0.9994583707 0.3636677130 1.0000000000 1.0000000000 0.0000127664 -0.000001 0.0000237002 0.00000000126461 0.000000 0.000000 0.00000000282270 0.00000000265531 0.000000 0.0000507165 0.0000264002 0.000000 -0.000949 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
28 0.0013134968 0.0006988659 0.0000000446009 0.0000000242389 0.000000 0.0000000410835 0.0000000347389 0.00000000853259 0.0010847744 0.0003835160 0.00000526892 0.0606609870 0.9995483834 0.3636625009 1.0000000000 1.0000000000 0.0000131518 -0.000001 0.0000236937 0.00000000124743 0.000000 0.000000 0.00000000291002 0.00000000275046 0.00000000103817 0.0000503559 0.0000274155 0.000000 -0.000906 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
29 0.0013130402 0.0007225572 0.0000000458396 0.0000000242415 0.000000 0.0000000440366 0.0000000375363 0.00000000961233 0.0011348848 0.0004114283 0.00000526946 0.0597753934 0.9996210328 0.3636582949 1.0000000000 1.0000000000 0.0000135334 -0.000000 0.0000236887 0.00000000123065 0.000000 0.000000 0.00000000299610 0.00000000284409 0.00000000112177 0.0000498242 0.0000284020 0.000000 -0.000865 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
30 0.0013126910 0.0007462443 0.0000000470621 0.0000000242442 0.000000 0.0000000470753 0.0000000404266 0.0000000107771 0.0011843849 0.0004403121 0.00000527002 0.0589299918 0.9996801024 0.3636548755 1.0000000000 1.0000000000 0.0000139114 -0.000000 0.0000236849 0.00000000121430 0.000000 0.000000 0.00000000308102 0.00000000293630 0.00000000120814 0.0000491389 0.0000293578 0.000000 -0.000826 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
31 0.0013124133 0.0007699289 0.0000000482688 0.0000000242469 0.000000 0.0000000501982 0.0000000434085 0.0000000120295 0.0012331383 0.0004701384 0.00000527054 0.0581229895 0.9997284625 0.3636520763 1.0000000000 1.0000000000 0.0000142858 -0.000000 0.0000236819 0.00000000119834 0.000000 0.000000 0.00000000316480 0.00000000302712 0.00000000129725 0.0000483169 0.0000302815 0.000000 -0.000788 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
32 0.0013121987 0.0007936110 0.0000000494600 0.0000000242496 0.000000 0.0000000534044 0.0000000464805 0.0000000133725 0.0012810132 0.0005008720 0.00000527109 0.0573526198 0.9997683108 0.3636497700 1.0000000000 1.0000000000 0.0000146567 -0.000000 0.0000236795 0.00000000118302 0.000000 0.000000 0.00000000324751 0.00000000311666 0.00000000138906 0.0000473772 0.0000311720 0.000000 -0.000753 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
33 0.0013120327 0.0008172909 0.0000000506361 0.0000000242523 0.000000 0.0000000566928 0.0000000496415 0.0000000148086 0.0013279013 0.0005324797 0.00000527168 0.0566172204 0.9998013446 0.3636478582 1.0000000000 1.0000000000 0.0000150241 -0.000000 0.0000236777 0.00000000116834 0.000000 0.000000 0.00000000332918 0.00000000320498 0.00000000148352 0.0000463384 0.0000320286 0.000000 -0.000718 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
34 0.0013118913 0.0008409701 0.0000000517980 0.0000000242549 0.000000 0.0000000600622 0.0000000528901 0.0000000163404 0.0013737192 0.0005649305 0.00000527224 0.0559152334 0.9998288853 0.3636462644 1.0000000000 1.0000000000 0.0000153881 -0.000000 0.0000236762 0.00000000115398 0.000000 0.000000 0.00000000340981 0.00000000329209 0.00000000158060 0.0000452177 0.0000328512 0.000000 -0.000686 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
35 0.0013117917 0.0008646473 0.0000000529457 0.0000000242576 0.000000 0.0000000635119 0.0000000562253 0.0000000179707 0.0014183865 0.0005981848 0.00000527284 0.0552451355 0.9998519693 0.3636449285 1.0000000000 1.0000000000 0.0000157487 -0.000000 0.0000236751 0.00000000114028 0.000000 0.000000 0.00000000348947 0.00000000337808 0.00000000168027 0.0000440317 0.0000336397 0.000000 -0.000655 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
36 0.0013117151 0.0008883235 0.0000000540798 0.0000000242603 0.000000 0.0000000670407 0.0000000596459 0.0000000197019 0.0014618453 0.0006322113 0.00000527344 0.0546054833 0.9998714157 0.3636438033 1.0000000000 1.0000000000 0.0000161060 -0.000000 0.0000236742 0.00000000112705 0.000000 0.000000 0.00000000356817 0.00000000346297 0.00000000178249 0.0000427979 0.0000343946 0.000000 -0.000625 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
37 0.0013116536 0.0009119990 0.0000000552009 0.0000000242629 0.000000 0.0000000706477 0.0000000631508 0.0000000215366 0.0015040540 0.0006669770 0.00000527404 0.0539949100 0.9998878759 0.3636428508 1.0000000000 1.0000000000 0.0000164600 -0.000000 0.0000236736 0.00000000111419 0.000000 0.000000 0.00000000364593 0.00000000354680 0.00000000188723 0.0000415307 0.0000351163 0.000000 -0.000596 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
38 0.0013116197 0.0009356731 0.0000000563092 0.0000000242655 0.000000 0.0000000743321 0.0000000667390 0.0000000234772 0.0015449862 0.0007024444 0.00000527464 0.0534121283 0.9999018714 0.3636420410 1.0000000000 1.0000000000 0.0000168109 -0.000000 0.0000236732 0.00000000110174 0.000000 0.000000 0.00000000372279 0.00000000362959 0.00000000199446 0.0000402405 0.0000358057 0.000000 -0.000569 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
39 0.0013115925 0.0009593468 0.0000000574051 0.0000000242681 0.000000 0.0000000780929 0.0000000704095 0.0000000255263 0.0015846153 0.0007385866 0.00000527523 0.0528558408 0.9999138221 0.3636413495 1.0000000000 1.0000000000 0.0000171585 -0.000000 0.0000236729 0.00000000108967 0.000000 0.000000 0.00000000379877 0.00000000371139 0.00000000210414 0.0000389444 0.0000364635 0.000000 -0.000543 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
40 0.0013115758 0.0009830201 0.0000000584891 0.0000000242707 0.000000 0.0000000819293 0.0000000741613 0.0000000276864 0.0016229428 0.0007753700 0.00000527581 0.0523248807 0.9999240683 0.3636407567 1.0000000000 1.0000000000 0.0000175031 -0.000000 0.0000236727 0.00000000107794 0.000000 0.000000 0.00000000387391 0.00000000379221 0.00000000221626 0.0000376487 0.0000370909 0.000000 -0.000519 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
41 0.0013115683 0.0010066929 0.0000000595615 0.0000000242732 0.000000 0.0000000858404 0.0000000779935 0.0000000299597 0.0016599776 0.0008127635 0.00000527637 0.0518181205 0.9999328868 0.3636402465 1.0000000000 1.0000000000 0.0000178445 -0.000000 0.0000236726 0.00000000106653 0.000000 0.000000 0.00000000394821 0.00000000387208 0.00000000233078 0.0000363601 0.0000376891 0.000000 -0.000495 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
42 0.0013115640 0.0010303655 0.0000000606227 0.0000000242758 0.000000 0.0000000898255 0.0000000819051 0.0000000323487 0.0016957167 0.0008507412 0.00000527692 0.0513344217 0.9999405045 0.3636398057 1.0000000000 1.0000000000 0.0000181829 -0.000000 0.0000236726 0.00000000105546 0.000000 0.000000 0.00000000402173 0.00000000395104 0.00000000244767 0.0000350916 0.0000382589 0.000000 -0.000472 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
43 0.0013115617 0.0010540380 0.0000000616729 0.0000000242782 0.000000 0.0000000938836 0.0000000858952 0.0000000348558 0.0017301931 0.0008892740 0.00000527747 0.0508727725 0.9999471079 0.3636394237 1.0000000000 1.0000000000 0.0000185184 -0.000000 0.0000236726 0.00000000104472 0.000000 0.000000 0.00000000409447 0.00000000402911 0.00000000256690 0.0000338438 0.0000388019 0.000000 -0.000451 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
