#t IFNb_mRNA IFNb_env STATP2n SOCS1m IRF7m IRF7Pn IFNa_mRNA IFNa_env TNFam TNFenv STATm STAT NS IC1 IC2 IC2ifa TJ J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 default c2 compartment w r5 n3 bm sp delta1 n1 sv delta2 n2 TJtot K3 K9 delta r0 k15 tao1 C vmax2 NA K2 K5 tao3 r3 k8 tao4 k11 k14 tao6 k12 k16 tao8 vmax17 K17 r1 rmax20 K20 tao9 vmax19 K19 r4 k26 tao12 k28 tao13 
##CONCENTRATIONS
10 0.0015596575 0.0002630502 0.0000000180836 0.0000000246179 0.000000 0.00000000432798 0.00000000242587 0.000000 0.0003038445 0.0000622056 0.00000555560 0.0859332408 0.9278503563 0.3681032989 1.0000000000 1.0000000000 0.00000541800 -0.000064 0.0000261885 0.00000000188302 -0.000000 0.000000 0.00000000104396 0.000000 0.000000 0.0000254429 0.00000907241 -0.000000 -0.001971 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
11 0.0015025069 0.0002889353 0.0000000199182 0.0000000244477 0.000000 0.00000000543777 0.00000000320738 0.000000 0.0003308985 0.0000716444 0.00000542970 0.0839829232 0.9539410165 0.3664173791 1.0000000000 1.0000000000 0.00000592005 -0.000050 0.0000256405 0.00000000179676 -0.000000 0.000000 0.00000000117447 0.000000 0.000000 0.0000286312 0.00000981849 -0.000000 -0.001926 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
12 0.0014582450 0.0003143346 0.0000000216769 0.0000000243545 0.000000 0.00000000667552 0.00000000411831 0.000000 0.0003609905 0.0000818663 0.00000535986 0.0820866903 0.9696969697 0.3654390935 1.0000000000 1.0000000000 0.00000640647 -0.000039 0.0000252037 0.00000000172303 -0.000000 0.000000 0.00000000130001 0.000000 0.000000 0.0000314962 0.0000106375 -0.000000 -0.001864 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
13 0.0014239884 0.0003393662 0.0000000233704 0.0000000242945 0.000000 0.00000000803630 0.00000000515893 0.000000 0.0003938150 0.0000929396 0.00000531911 0.0802576633 0.9794865842 0.3648456415 1.0000000000 1.0000000000 0.00000688033 -0.000030 0.0000248579 0.00000000166318 -0.000000 0.000000 0.00000000142090 0.00000000110512 0.000000 0.0000341223 0.0000115180 -0.000000 -0.001794 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
14 0.0013975095 0.0003640993 0.0000000250080 0.0000000242607 0.000000 0.00000000951576 0.00000000632795 0.000000 0.0004291539 0.0001049210 0.00000529488 0.0785003697 0.9857478006 0.3644716940 1.0000000000 1.0000000000 0.00000734324 -0.000023 0.0000245858 0.00000000161354 -0.000000 0.000000 0.00000000153759 0.00000000123257 0.000000 0.0000365546 0.0000124515 -0.000000 -0.001721 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
15 0.0013771159 0.0003885856 0.0000000265990 0.0000000242430 0.000000 0.0000000111104 0.00000000762330 0.000000 0.0004668325 0.0001178591 0.00000528089 0.0768157192 0.9898637947 0.3642282094 1.0000000000 1.0000000000 0.00000779650 -0.000018 0.0000243733 0.00000000156895 -0.000000 0.000000 0.00000000165053 0.00000000135772 0.000000 0.0000388124 0.0000134304 -0.000000 -0.001649 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
16 0.0013615507 0.0004128657 0.0000000281494 0.0000000242328 0.000000 0.0000000128170 0.00000000904245 0.00000000113590 0.0005066930 0.0001317953 0.00000527368 0.0752031694 0.9926388174 0.3640650862 1.0000000000 1.0000000000 0.00000824118 -0.000013 0.0000242094 0.00000000152748 -0.000000 0.000000 0.00000000176012 0.00000000148024 0.000000 0.0000408987 0.0000144482 -0.000000 -0.001577 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
17 0.0013497436 0.0004369933 0.0000000296616 0.0000000242264 0.000000 0.0000000146316 0.0000000105826 0.00000000142885 0.0005485652 0.0001467655 0.00000527025 0.0736615154 0.9945532220 0.3639530345 1.0000000000 1.0000000000 0.00000867850 -0.000010 0.0000240840 0.00000000149179 -0.000000 0.000000 0.00000000186677 0.00000000159971 0.000000 0.0000428120 0.0000154982 -0.000000 -0.001507 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
18 0.0013407601 0.0004610197 0.0000000311387 0.0000000242233 0.000000 0.0000000165508 0.0000000122407 0.00000000176961 0.0005922643 0.0001627993 0.00000526832 0.0721887352 0.9959016393 0.3638743455 1.0000000000 1.0000000000 0.00000910952 -0.000008 0.0000239881 0.00000000146340 -0.000000 0.000000 0.00000000197076 0.00000000171597 0.000000 0.0000445478 0.0000165736 -0.000000 -0.001439 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
19 0.0013339079 0.0004849718 0.0000000325857 0.0000000242223 0.000000 0.0000000185722 0.0000000140138 0.00000000216163 0.0006376044 0.0001799190 0.00000526701 0.0707822352 0.9968694077 0.3638179892 1.0000000000 1.0000000000 0.00000953486 -0.000006 0.0000239145 0.00000000143942 -0.000000 0.000000 0.00000000207240 0.00000000182921 0.000000 0.0000460943 0.0000176679 -0.000000 -0.001375 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
