time,input_il6,nExpID,FGG_mrna,IL33_mrna,APCS_mrna,HAMP_mrna,HP_mrna,HPX_mrna,SOCS3_mrna,CXCL10_mrna
0,0,2,0.759201776,0.663856719,1.327569815,0.3616763575,1.355454346,1.344784206,0.031593911,0.1473555105
30,0,2,0.2986908515,0.445373182,1.5470433715,0.3358594365,1.01921131,0.869783993,0.03249406,0.1346497025
60,0,2,0.6235028195,0.5185167835,1.154220642,0.241003284,1.2050833435,1.370191012,0.028365553,0.177059988
180,0,2,0.3498044925,0.3240711795,1.0503337975,0.1236507,1.244836596,1.200547949,0.018324382,0.1480450755
360,0,2,0.3790267875,1.186805005,0.6471511175,0.249186783,1.1935068185,1.1780143915,0.048361362,0.211846408
1440,0,2,0.269480064,1.717855356,0.120699089,0.7707377385,1.408355248,1.269894199,0.0392526975,0.07883775
0,40,2,0.461306402,0.2592415805,1.268605399,0.173531246,1.1163246585,1.3344365025,0.0180726955,0.106245774
30,40,2,0.3951388065,0.3378438735,1.4444210275,0.389290244,1.1056248335,1.044397199,2.828063218,0.285175903
60,40,2,1.295304829,0.6500775015,1.054234272,0.76988015,1.0548464005,1.1014956295,1.2735857475,0.87093587
180,40,2,1.496166065,1.0079503945,1.3908055635,1.430919865,1.0862978265,0.9801668965,0.488241666,0.339126705
360,40,2,3.717162266,2.0560988605,1.2192272835,1.6364803625,1.3697814045,1.491745058,0.5282650005,0.1017229575
1440,40,2,1.307780644,3.510212458,1.008522123,8.8319054515,1.8578942225,1.5901173955,0.5031794295,0.0210025745
0,100,2,0.556036736,0.4526918,1.4037670415,0.2737510885,1.0688026445,1.188903391,0.023712088,0.117094192
30,100,2,0.3427230835,0.5903537255,1.5608926185,0.791422499,1.1146748535,1.031346548,5.6398874065,0.444383313
60,100,2,1.3209341145,1.263811802,1.40203693,1.101968319,1.2799965475,1.218347561,1.7821522415,1.6798119345
180,100,2,1.265299365,1.942102881,1.4147294575,1.6266536625,0.990911678,0.9656414705,1.0017751255,0.564045103
360,100,2,3.644001666,2.3670248155,1.2220249735,1.463113804,1.3832906915,1.3760960775,0.841116454,0.16754793
1440,100,2,2.0445479945,4.9858460955,1.166580566,13.175327585,2.5608034275,1.962585626,1.298756105,0.028940388
