Time,c1,c515,c285,c514,ERB_B1_P_tot,ERB_B1_P_tot_std,ERK_PP,ERK_PP_std,AKT_PP,AKT_PP_std
1800,5e-09,0,0,0,0,0.1,0,0.1,0,0.1
1950,5e-09,0,0,0,65,7.4,60,0.46,0,0.1
2100,5e-09,0,0,0,72,6.8,88,1.9,24,0.36
2250,5e-09,0,0,0,75,8.9,97,1.5,34,0.69
2400,5e-09,0,0,0,77,4.7,98,1.2,40,2.3
2700,5e-09,0,0,0,83,4.7,86,3.1,50,2.1
3600,5e-09,0,0,0,87,2.5,65,2.8,64,1.5
4500,5e-09,0,0,0,98,2.4,56,2.9,52,3.5
5400,5e-09,0,0,0,87,13.1,50,3.7,49,2.3
9000,5e-09,0,0,0,86,13.1,46,1.5,57,7.4
