time,APCS_qpcr,FGG_qpcr,HAMP_qpcr,HP_qpcr,HPX_qpcr,IL33_qpcr,SOCS3_qpcr,CXCL10_qpcr
0,1,1,1,1,1,1,1,1
2000,1,1,1,1,1,1,1,1
