min,mcyto_obs,mnuc_obs,experiment
0,5.28654874771286,1.93703928647129,Anja_2016_4
0,6.16519097855432,2.06383633945531,Anja_2016_4
0,6.11938768842954,1.72477985898743,Anja_2016_4
0,5.83032385791461,2.62213454153217,Anja_2016_4
0,6.67237919049041,2.4869586856573,Anja_2016_4
0,6.01744704319496,2.26827563414223,Anja_2016_4
0,5.55131442439966,2.77378816873467,Anja_2016_4
0,5.30330585408744,1.86218981259631,Anja_2016_4
0,6.42688463560078,2.36155822467353,Anja_2016_4
0,5.70771608152423,1.2493822467353,Anja_2016_4
0,6.83883524461496,2.05713346361167,Anja_2016_4
0,5.55019708421184,2.06830503433043,Anja_2016_4
0,5.68509360503976,2.55817730332899,Anja_2016_4
0,5.78535823999261,2.30542103603277,Anja_2016_4
0,6.0104649987734,2.40847868851709,Anja_2016_4
