#t EGF R Ra R2 RP PLCg RPLCg RPLCgP PLCgP Grb RG SOS RGS GS Shc RSh RShP ShP RShG ShG RShGS ShGS PLCgl v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 compartment 
##CONCENTRATIONS
10 580.338705006086 0.3387050061 9.5671160077 7.3157700187 0.8150881698 74.14296968873 3.4301258682 9.5563333399 3.1315816803 50.31635171003 0.6301031336 12.11132117371 0.6031712711 2.7030379089 85.30040267911 1.0738888455 13.35129656471 19.52707593426 4.1721443349 7.9927219952 4.0991679467 14.48330169958 14.73898942287 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
11 580.325840895822 0.3258408958 9.2825704201 7.4488685849 0.8463725924 71.23755496611 3.4212932564 9.6374830453 3.2533959057 46.54761791841 0.6832676903 9.8053790445 0.6297826726 2.9300502316 79.86381942811 1.0463131767 13.25697630631 21.62360960175 4.0932093475 9.4812840883 4.1322276697 16.50256038170 17.45027282651 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
12 580.317612026728 0.3176120267 9.1106290794 7.6446438090 0.8811098680 68.33834349258 3.4169449922 9.6904823848 3.3606254239 43.04541003568 0.7394238166 7.8818339516 0.6465758970 3.0938672441 74.59104102206 1.0198512342 13.16459945983 23.74978527719 3.9900344929 11.10696560644 4.0922134924 18.28550941490 20.19360370651 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
13 580.312910737936 0.3129107379 9.0256641538 7.8897466700 0.9190509618 65.44343487805 3.4145954816 9.7262970205 3.4589554533 39.82424016170 0.7975562164 6.3360394715 0.6550062142 3.1922414989 69.47890954592 0.9937231662 13.06883942185 25.92757195727 3.8659313307 12.84831176264 3.9999660709 19.81674674454 22.95671716656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
14 580.310951413597 0.3109514136 9.0092247162 8.1776303389 0.9604505962 62.55305289171 3.4123139117 9.7508031978 3.5517289397 36.89003642398 0.8564347401 5.1386906970 0.6566930991 3.2292617150 64.52963530944 0.9670007453 12.96272992400 28.17305999959 3.7235195118 14.66870002106 3.8723358702 21.10301861870 25.73210105903 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
15 580.311162459272 0.3111624593 9.0476306563 8.5022827075 1.0049925711 59.66832864591 3.4089375876 9.7669720141 3.6408280677 34.24037442248 0.9148995568 4.2422660242 0.6532683993 3.2136696737 59.74513326244 0.9397364106 12.84139997039 30.49594240890 3.5658994552 16.52109258971 3.7222147697 22.16858113315 28.51493368474 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
16 580.313117714344 0.3131177143 9.1305443583 8.8623106985 1.0528154142 56.79199041737 3.4031500067 9.7757827158 3.7271828515 31.86539596208 0.9718671012 3.5897075357 0.6462752090 3.1569037290 55.13123824458 0.9114044736 12.69859222933 32.89920705377 3.3969576965 18.35548677592 3.5590134188 23.04810010754 31.30189400866 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
17 580.316495386306 0.3164953863 9.2500585947 9.2547042011 1.1043986882 53.92736232229 3.3940073698 9.7771315456 3.8111347786 29.74933575361 1.0265817648 3.1235513755 0.6370206101 3.0711677552 50.69240401604 0.8816642377 12.53100729580 35.37903033416 3.2209185533 20.12671530383 3.3892887433 23.77897151598 34.09036398370 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
18 580.321050327358 0.3210503274 9.4002610755 9.6814095999 1.1588236808 51.07879706803 3.3807147461 9.7699500482 3.8926164463 27.87238099656 1.0785068833 2.7929612194 0.6265654179 2.9678035644 46.43637275784 0.8511948263 12.33261304626 37.92507623172 3.0421148694 21.79995847010 3.2174511804 24.39521861793 36.87792169145 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
19 580.326595046890 0.3265950469 9.5763494774 10.13929739764 1.2181321766 48.25134183824 3.3621664206 9.7530994777 3.9713528005 26.21269832106 1.1274961801 2.5573623656 0.6156647860 2.8561698605 42.36803838359 0.8183657265 12.10359628473 40.52202875286 2.8642313731 23.35293649141 3.0464779150 24.92432507284 39.66203946304 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
20 580.332980671275 0.3329806713 9.7747796600 10.63155288600 1.2801163839 45.45050336946 3.3379689762 9.7247416861 4.0468875023 24.74802573240 1.1735650347 2.3868984115 0.6048664560 2.7432386565 38.49446758511 0.7852239474 11.83936979373 43.15063455338 2.6903398515 24.77496779297 2.8783748188 25.38662165713 42.43989846583 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
21 580.340098415199 0.3400984152 9.9928772513 11.15926876833 1.3472800105 42.68345196294 3.3066627077 9.6829961545 4.1186379025 23.45718370992 1.2168869223 2.2608088717 0.5945241769 2.6337207597 34.82427592238 0.7495982376 11.53934161534 45.78909979355 2.5224199833 26.06431825627 2.7145335903 25.79641260130 45.20825127229 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
