#t PX PY PZ X Y Z t_ave beta k_tl a_tr a0_tr kd_prot kd_mRNA alpha alpha0 Reaction1 Reaction2 Reaction3 Reaction4 Reaction5 Reaction6 Reaction7 Reaction8 Reaction9 Reaction10 Reaction11 Reaction12 cell eff n KM tau_mRNA tau_prot ps_a ps_0 
##CONCENTRATIONS
10 621.159974948293 532.617945076888 140.942006700999 7.4064680092 1.9931846402 0.8685662734 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.5668862092 0.6907851569 0.3010221318 51.33772418454 13.81570313703 6.0204426354 43.05552853121 36.91826269457 9.7693554567 2.2639987686 0.1537663518 0.1980863880 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
11 628.366468860784 508.669358122480 137.024453996304 7.2022121014 1.5378215974 0.7884581907 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.4960965059 0.5329683522 0.2732587859 49.92193011876 10.65936704444 5.4651757189 43.55504462493 35.25827314198 9.4978113955 2.3833914252 0.1509551647 0.2141867106 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
12 634.313011434897 483.744239072249 132.968773613071 7.1658558404 1.2138867276 0.7469340099 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.4834963860 0.4207010814 0.2588676015 49.66992772066 8.4140216277 5.1773520301 43.96722754686 33.53059554250 9.2166930532 2.5170473085 0.1487068803 0.2335240761 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
13 640.070022183953 458.652752821745 129.012286642613 7.2571566286 0.9831354179 0.7354373451 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.5151388280 0.3407287715 0.2548831611 50.30277655979 6.8145754305 5.0976632224 44.36627312377 31.79138624745 8.9424502744 2.6583464649 0.1465893719 0.2562288587 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
14 646.387851377649 433.932069127296 125.328225450688 7.4419496758 0.8180890850 0.7480601595 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.5791832178 0.2835280713 0.2592578952 51.58366435660 5.6705614269 5.1851579044 44.80419167306 30.07787902701 8.6870906116 2.8006445572 0.1443300603 0.2825157835 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
15 653.751569231346 409.926636796180 122.045420003883 7.6907608264 0.6993472439 0.7809168431 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.6654145916 0.2423752852 0.2706451540 53.30829183163 4.8475057035 5.4129030804 45.31460569993 28.41394925317 8.4595438776 2.9370478464 0.1417785390 0.3126694358 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
16 662.426836183964 386.848097290518 119.263078943235 7.9767734447 0.6131570621 0.8315149012 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.7645390116 0.2125040444 0.2881811047 55.29078023167 4.2500808883 5.7636220935 45.91592938282 26.81426679419 8.2666866914 3.0603945695 0.1388805313 0.3470349764 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
17 672.489925765097 364.818210398320 117.061323730311 8.2746814275 0.5496445826 0.8983717656 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.8677860507 0.1904922964 0.3113519282 57.35572101483 3.8098459272 6.2270385645 46.61344959990 25.28727139545 8.1140726496 3.1634308495 0.1356577532 0.3860113720 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
18 683.848273536931 343.896151780052 115.508046228044 8.5606648480 0.5018680451 0.9807979740 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.9669003516 0.1739342102 0.3399186752 59.33800703107 3.4786842047 6.7983735039 47.40075027329 23.83706480118 8.0064076575 3.2391855857 0.1321889339 0.4300515141 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
19 696.259070225362 324.096581604940 114.663689940048 8.8124504436 0.4650789606 1.0787351841 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.0541625894 0.1611840852 0.3738611257 61.08325178799 3.2236817030 7.4772225141 48.26100114660 22.46466317686 7.9478813395 3.2814764397 0.1285902505 0.4796683434 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
20 709.350321426949 305.404748611128 114.585558914419 9.0093191057 0.4359567007 1.1926218202 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.1223920684 0.1510910790 0.4133312261 62.44784136871 3.0218215796 8.2666245214 49.16841753264 21.16904404294 7.9424657094 3.2854302308 0.1249962390 0.5354385850 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
21 722.645814133428 287.789026506835 115.331482855094 9.1333895538 0.4123329957 1.3232768107 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.1653916091 0.1429037267 0.4586127952 63.30783218162 2.8580745345 9.1722559041 50.08999086100 19.94801523193 7.9941692171 3.2479632706 0.1215434255 0.5980000769 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
22 735.593937718093 271.209104966681 116.962276215713 9.1704899630 0.3928111494 1.4718282722 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.1782496311 0.1361379704 0.5100968086 63.56499262211 2.7227594071 10.20193617160 50.98748639663 18.79878264498 8.1072071991 3.1681841476 0.1183584627 0.6680466565 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
23 747.599898511697 255.620195076304 119.543274702666 9.1109017723 0.3764867296 1.6396836643 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.1575979379 0.1304803576 0.5682710544 63.15195875802 2.6096071513 11.36542108889 51.81967618403 17.71824175113 8.2861083815 3.0476341055 0.1155513295 0.7463249718 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
24 758.060748030210 240.975352529373 123.145609019029 8.9500561601 0.3627802338 1.8285032461 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.1018530966 0.1257300481 0.6337109348 62.03706193210 2.5146009623 12.67421869699 52.54476701903 16.70313861902 8.5358031690 2.8902716805 0.1132130023 0.8336317542 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
